
Data Report
2017-09-07 14:24:15
Location, 1, W15095

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),WS(m/s),WD(Deg),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),BV(V),PM,Status
2017-08-10 16:00:00,+099999,+000000,+13.5,00.0,000,+023.4,031,690,+023.6,026,12.4,0,00256
2017-08-10 17:00:00,+030002,+000008,+16.6,00.0,000,+023.8,031,690,+028.3,019,12.5,0,00000
2017-08-10 18:00:00,+000012,+000010,+16.6,00.0,000,+023.9,029,690,+031.2,015,12.5,0,00000
2017-08-10 19:00:00,+000004,+000006,+16.6,00.0,000,+023.7,030,689,+031.7,015,12.5,0,00000
2017-08-10 20:00:00,+000005,+000002,+16.6,00.0,000,+022.6,035,689,+031.1,016,12.5,0,00000
2017-08-10 21:00:00,+000004,+000007,+16.7,00.0,000,+022.5,035,689,+030.7,017,12.5,0,00000
2017-08-10 22:00:00,+000008,+000010,+16.7,00.0,000,+022.4,035,689,+030.6,017,12.5,0,00000
2017-08-10 23:00:00,+000010,+000010,+16.6,00.0,000,+022.4,036,690,+030.6,017,12.5,0,00000
2017-08-11 00:00:00,+000011,+000009,+16.6,00.0,000,+022.3,035,690,+030.5,017,12.5,0,00000
2017-08-11 01:00:00,+000011,+000013,+16.7,00.0,000,+022.2,035,690,+030.4,017,12.5,0,00000
2017-08-11 02:00:00,+000012,+000012,+16.6,00.0,000,+022.2,035,690,+030.4,017,12.5,0,00000
2017-08-11 03:00:00,+000007,+000011,+16.6,00.0,000,+022.2,035,690,+030.4,017,12.5,0,00000
2017-08-11 04:00:00,+000009,+000004,+16.7,00.0,000,+022.2,036,690,+030.4,017,12.5,0,00000
2017-08-11 05:00:00,+000006,+000012,+16.6,00.0,000,+022.2,037,690,+030.4,017,12.5,0,00000
2017-08-11 06:00:00,+000010,+000009,+16.7,00.0,000,+022.2,038,690,+030.4,018,12.5,0,00000
2017-08-11 07:00:00,+000012,+000015,+16.7,00.0,000,+022.2,039,690,+030.4,018,12.5,0,00000
2017-08-11 08:00:00,+000012,+000010,+16.7,00.0,000,+022.2,040,690,+030.4,019,12.5,0,00000
2017-08-11 09:00:00,+000008,+000012,+16.6,00.0,000,+022.3,040,690,+030.5,019,12.5,0,00000
2017-08-11 10:00:00,+000014,+000020,+16.6,00.0,000,+022.5,038,690,+030.6,018,12.5,0,00000
2017-08-11 11:00:00,+000014,+000013,+16.6,00.0,000,+022.7,038,690,+030.8,018,12.5,0,00000
2017-08-11 12:00:00,+000014,+000008,+16.7,00.0,000,+023.2,036,690,+031.1,017,12.5,0,00000
2017-08-11 13:00:00,+000008,+000015,+16.6,00.0,000,+023.7,035,689,+031.6,017,12.5,0,00000
2017-08-11 14:00:00,+000016,+000013,+16.6,00.0,000,+024.0,034,689,+032.0,016,12.5,0,00000
2017-08-11 15:00:00,+000012,+000013,+15.9,00.0,000,+024.1,030,689,+032.1,015,12.5,0,00000
2017-08-11 16:00:00,+085001,+000779,+14.6,00.0,000,+023.7,029,688,+031.4,014,12.5,0,00256
2017-08-11 18:00:00,+099999,+099999,+00.2,00.0,000,+034.9,013,687,+033.2,011,12.5,0,00128
2017-08-11 19:00:00,+099999,+000008,+12.4,00.0,000,+034.1,015,687,+035.2,011,12.5,0,00256
2017-08-11 20:00:00,+033335,+000002,+16.7,00.0,000,+031.4,018,687,+035.8,011,12.5,0,00000
2017-08-11 21:00:00,+000001,+000001,+16.7,00.0,000,+028.5,022,687,+034.7,012,12.5,0,00000
2017-08-11 22:00:00,+000001,-000001,+16.7,00.0,000,+026.2,025,687,+034.1,013,12.5,0,00000
