"TOA5","indoor-air","CR1000","47257","CR1000.Std.31.08","CPU:indoorair.cr1","7961","tsdata"
"TIMESTAMP","RECORD","dusttrak2_analog_pm25","dc1100_pm_small","dc1100_pm_large","li840a_CO2","li840a_H2O","li840a_cell_T","li840a_cell_P","li840a_dewpoint","li840a_pwr_src","typeK_amb_T","logger_self_T"
"TS","RN","mg/m^3","counts/m^3","counts/m^3","ppm","ppth","degC","kPa","degC","Vdc","degC","degC"
"","","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-08-31 07:57:00",0,-0.03810783,52972,0,408.5,11.29,71.14,108.6598,7.477,12.27,22.37,24.57
"2017-08-31 07:58:00",1,-0.03859789,74160,0,407.9,11.29,51.2,92.08367,7.485,12.27,22.4,24.57
"2017-08-31 07:59:00",2,-0.03862022,52972,0,408.6,11.3,51.2,92.08602,7.494,12.27,22.46,24.57
"2017-08-31 08:00:00",3,-0.03851975,70629,0,407.8,11.31,51.2,92.08074,7.505,12.27,22.39,24.57
"2017-08-31 08:01:00",4,-0.03845277,56503,0,408,11.32,51.2,92.07539,7.524,12.27,22.36,24.57
"2017-08-31 08:02:00",5,-0.03844607,67097,3531,408.6,11.34,51.2,92.08441,7.546,12.27,22.38,24.57
"2017-08-31 08:03:00",6,-0.0384751,77692,0,409.1,11.35,51.2,92.08741,7.563,12.27,22.37,24.57
"2017-08-31 08:04:00",7,-0.03845277,60034,0,409.7,11.36,51.2,92.08306,7.573,12.27,22.37,24.57
"2017-08-31 08:05:00",8,-0.0384885,67097,0,409.6,11.36,51.2,92.0856,7.581,12.27,22.33,24.56
"2017-08-31 08:06:00",9,-0.03845277,52972,0,410.4,11.37,51.2,92.0862,7.588,12.27,22.33,24.54
"2017-08-31 08:07:00",10,-0.03844607,60034,0,410.5,11.38,51.2,92.08786,7.599,12.27,22.34,24.54
"2017-08-31 08:08:00",11,-0.03844161,67097,0,410.2,11.38,51.2,92.08917,7.605,12.27,22.32,24.54
"2017-08-31 08:09:00",12,-0.03843491,70629,3531,408.8,11.38,51.2,92.0901,7.604,12.27,22.32,24.54
"2017-08-31 08:10:00",13,-0.03841705,67097,0,408.7,11.37,51.2,92.09505,7.594,12.27,22.32,24.54
"2017-08-31 08:11:00",14,-0.03841928,81223,0,408.5,11.37,51.2,92.09731,7.596,12.27,22.34,24.54
"2017-08-31 08:12:00",15,-0.03844607,74160,0,410.3,11.39,51.2,92.10085,7.615,12.27,22.38,24.54
"2017-08-31 08:13:00",16,-0.03844607,88286,7062,418.8,11.42,51.2,92.09884,7.654,12.27,22.43,24.54
"2017-08-31 08:14:00",17,-0.03844607,130664,14125,414.4,11.41,51.2,92.09797,7.646,12.27,22.36,24.54
"2017-08-31 08:15:00",18,-0.03844607,91818,3531,413.8,11.4,51.2,92.10162,7.632,12.27,22.42,24.54
"2017-08-31 08:16:00",19,-0.03844607,84755,3531,410.6,11.4,51.2,92.1049,7.623,12.27,22.41,24.54
"2017-08-31 08:17:00",20,-0.03844831,91818,0,409.3,11.4,51.2,92.10401,7.626,12.27,22.38,24.54
"2017-08-31 08:18:00",21,-0.03845277,70629,3531,408,11.4,51.2,92.10061,7.631,12.27,22.38,24.54
"2017-08-31 08:19:00",22,-0.03844831,84755,0,407.3,11.41,51.2,92.09863,7.637,12.27,22.4,24.53
"2017-08-31 08:20:00",23,-0.03845054,67097,0,406.4,11.42,51.2,92.0996,7.649,12.27,22.35,24.54
"2017-08-31 08:21:00",24,-0.03847063,67097,0,405.9,11.43,51.2,92.09969,7.662,12.27,22.4,24.54
"2017-08-31 08:22:00",25,-0.03845501,63566,3531,405.9,11.43,51.2,92.09671,7.672,12.27,22.42,24.53
"2017-08-31 08:23:00",26,-0.0384617,67097,0,405.6,11.44,51.2,92.09299,7.676,12.27,22.34,24.52
"2017-08-31 08:24:00",27,-0.03844607,67097,0,405.3,11.43,51.2,92.09726,7.669,12.27,22.42,24.51
"2017-08-31 08:25:00",28,-0.03844607,63566,0,405,11.43,51.2,92.09781,7.661,12.27,22.35,24.51
"2017-08-31 08:26:00",29,-0.03846394,70629,3531,404.7,11.42,51.2,92.09626,7.647,12.27,22.36,24.51
"2017-08-31 08:27:00",30,-0.03847956,67097,0,404.7,11.41,51.2,92.09171,7.645,12.27,22.38,24.51
"2017-08-31 08:28:00",31,-0.03844831,63566,0,404.6,11.41,51.2,92.10138,7.644,12.27,22.36,24.51
"2017-08-31 08:29:00",32,-0.03849966,74160,0,404.5,11.41,51.2,92.10315,7.638,12.27,22.32,24.51
"2017-08-31 08:30:00",33,-0.0384751,63566,3531,404.3,11.4,51.2,92.10271,7.626,12.27,22.35,24.51
"2017-08-31 08:31:00",34,-0.03852422,56503,0,404,11.39,51.2,92.10465,7.617,12.27,22.34,24.51
"2017-08-31 08:32:00",35,-0.03852421,63566,0,404,11.39,51.2,92.10664,7.619,12.27,22.32,24.51
"2017-08-31 08:33:00",36,-0.03849073,60034,0,404,11.39,51.2,92.10864,7.623,12.27,22.29,24.51
"2017-08-31 08:34:00",37,-0.03846617,21188,0,404,11.4,51.2,92.11044,7.627,12.27,22.31,24.51
"2017-08-31 08:35:00",38,-0.03848626,70629,0,403.9,11.41,51.2,92.11379,7.638,12.27,22.3,24.51
"2017-08-31 08:36:00",39,-0.03849519,63566,0,404,11.42,51.2,92.11542,7.65,12.27,22.3,24.51
"2017-08-31 08:37:00",40,-0.03851305,49440,0,403.8,11.43,51.2,92.11378,7.67,12.27,22.28,24.51
"2017-08-31 08:38:00",41,-0.03844607,67097,3531,403.8,11.44,51.2,92.11418,7.68,12.27,22.3,24.51
"2017-08-31 08:39:00",42,-0.03846617,63566,0,403.8,11.45,51.2,92.11263,7.693,12.27,22.29,24.51
"2017-08-31 08:40:00",43,-0.03849966,67097,0,403.9,11.45,51.2,92.11363,7.698,12.27,22.34,24.51
"2017-08-31 08:41:00",44,-0.03847287,63566,0,403.8,11.46,51.2,92.11439,7.713,12.27,22.34,24.51
"2017-08-31 08:42:00",45,-0.03850412,60034,0,403.9,11.48,51.2,92.11299,7.732,12.27,22.35,24.51
"2017-08-31 08:43:00",46,-0.03853985,70629,0,403.9,11.5,51.2,92.11297,7.762,12.27,22.36,24.51
"2017-08-31 08:44:00",47,-0.03852422,70629,0,404.2,11.51,51.2,92.11066,7.776,12.27,22.37,24.51
"2017-08-31 08:45:00",48,-0.03848403,81223,0,404.2,11.53,51.2,92.11399,7.799,12.27,22.36,24.51
"2017-08-31 08:46:00",49,-0.03849966,74160,0,404.2,11.55,51.2,92.11332,7.825,12.27,22.33,24.51
"2017-08-31 08:47:00",50,-0.03851305,77692,0,404.5,11.57,51.2,92.1171,7.844,12.27,22.43,24.51
"2017-08-31 08:48:00",51,-0.03849296,88286,3531,404.7,11.59,51.2,92.12151,7.871,12.27,22.43,24.51
"2017-08-31 08:49:00",52,-0.03849073,74160,0,404.7,11.6,51.2,92.12664,7.882,12.27,22.43,24.51
"2017-08-31 08:50:00",53,-0.03848403,84755,0,404.6,11.62,51.2,92.12626,7.913,12.27,22.4,24.51
"2017-08-31 08:51:00",54,-0.03846617,77692,3531,404.9,11.63,51.2,92.12667,7.926,12.27,22.41,24.51
"2017-08-31 08:52:00",55,-0.03847063,74160,0,405.1,11.64,51.2,92.12653,7.942,12.27,22.43,24.51
"2017-08-31 08:53:00",56,-0.03850859,91818,0,405.1,11.65,51.2,92.12546,7.947,12.27,22.44,24.51
"2017-08-31 08:54:00",57,-0.03848179,70629,0,405,11.66,51.2,92.12904,7.964,12.27,22.44,24.51
"2017-08-31 08:55:00",58,-0.03845277,77692,0,405,11.67,51.2,92.12623,7.98,12.27,22.4,24.51
"2017-08-31 08:56:00",59,-0.0384751,84755,0,405.3,11.67,51.2,92.1189,7.974,12.27,22.43,24.51
"2017-08-31 08:57:00",60,-0.03844607,102412,0,405.1,11.67,51.2,92.12451,7.971,12.27,22.42,24.51
"2017-08-31 08:58:00",61,-0.03844831,113006,0,405.3,11.67,51.2,92.12666,7.975,12.27,22.42,24.51
"2017-08-31 08:59:00",62,-0.03849296,109475,0,405.5,11.67,51.2,92.12744,7.974,12.27,22.42,24.51
"2017-08-31 09:00:00",63,-0.03845501,120069,3531,405.7,11.67,51.2,92.1275,7.978,12.27,22.4,24.51
"2017-08-31 09:01:00",64,-0.03846394,123601,3531,406,11.68,51.2,92.12549,7.984,12.27,22.38,24.51
