OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
397,126,43,6,2,3,3,0,0,0,0,0,0,0,0,0,15,22,24,0,4.933,1.398,37.219,44.737,45.690
399,119,47,5,1,1,1,0,0,0,0,0,0,0,0,0,15,20,13,0,4.933,1.383,37.460,44.390,44.771
406,131,42,8,1,0,2,0,0,0,0,0,0,0,0,0,15,19,0,0,4.933,1.387,38.348,45.375,45.965
361,124,42,10,0,1,0,0,0,0,0,0,0,0,0,0,15,20,19,0,4.933,1.387,35.373,41.942,42.077
409,140,37,8,3,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,4.933,1.387,38.794,45.301,45.416
365,113,25,5,0,1,0,0,0,0,0,0,0,0,0,0,15,19,21,0,4.933,1.387,32.538,37.302,37.397
380,144,36,7,0,1,0,0,0,0,0,0,0,0,0,0,15,21,23,0,4.933,1.387,37.424,43.689,43.807
368,107,33,7,0,0,2,0,0,0,0,0,0,0,0,0,15,21,0,0,4.933,1.387,33.107,38.847,39.410
359,139,37,8,1,0,0,1,0,0,0,0,0,0,0,0,15,23,0,29,4.933,1.382,36.135,42.653,43.720
383,153,46,5,1,1,1,2,0,0,0,0,0,0,0,0,15,19,25,29,4.933,1.387,39.464,47.320,49.641
382,131,40,5,1,0,0,0,1,0,0,0,0,0,0,0,15,19,0,0,4.933,1.387,36.745,43.191,46.480
372,140,43,7,1,0,2,0,2,0,0,0,0,0,0,1,14,22,0,0,5.103,1.387,36.182,43.581,90.169
375,137,39,8,1,1,0,1,0,0,0,0,0,0,0,0,15,21,25,29,5.017,1.387,36.302,42.961,44.049
390,119,41,5,2,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,4.975,1.387,35.910,42.021,42.118
372,157,30,5,2,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,4.954,1.383,37.415,43.315,43.401
369,144,33,5,2,1,0,0,0,0,0,0,0,0,0,0,15,23,23,0,4.944,1.387,36.401,42.442,42.571
403,151,44,4,0,1,0,0,0,0,0,0,0,0,0,0,14,19,21,0,5.109,1.387,38.685,45.278,45.392
366,149,32,7,1,1,2,0,1,0,0,0,0,0,0,0,15,20,9,0,5.020,1.387,36.091,42.792,46.544
376,139,35,7,1,0,2,0,0,0,0,0,0,0,0,0,16,20,0,0,4.814,1.387,37.581,44.252,44.845
382,120,33,2,2,1,1,0,0,0,0,0,0,0,0,0,15,21,25,0,4.873,1.387,35.332,41.115,41.482
352,145,37,6,1,2,5,0,0,0,0,0,0,0,0,0,15,19,25,0,4.903,1.383,36.492,44.161,45.567
359,129,35,6,0,0,0,0,0,0,0,1,0,0,0,0,15,19,0,0,4.918,1.387,34.907,40.689,75.938
350,149,31,4,2,2,1,1,1,0,0,0,0,0,0,0,15,19,24,29,4.926,1.387,35.741,42.504,47.092
367,138,37,6,2,1,0,0,0,0,0,0,1,0,0,0,14,20,23,0,5.099,1.387,35.136,41.274,91.603
375,134,39,7,0,1,0,2,0,0,0,0,0,0,1,1,15,20,49,32,5.015,1.387,35.997,42.710,132.052
