OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430716                                            
Config info:
GSC,1.000
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2566,635,198,34,12,8,6,2,0,0,0,1,0,0,0,0,16,19,26,28,4.625,1.398,229.673,267.307,308.930
2535,672,200,43,6,5,6,1,1,1,0,0,0,0,0,0,16,19,21,27,4.625,1.382,234.527,273.193,288.819
2499,606,222,35,3,3,5,1,0,0,0,1,0,0,0,0,16,20,22,27,4.625,1.386,227.628,264.997,305.390
2503,625,232,50,8,4,2,1,0,0,0,0,0,0,0,0,16,19,22,17,4.625,1.386,231.506,270.891,273.251
2420,658,232,48,4,7,4,2,1,1,0,0,0,0,0,0,16,21,23,41,4.625,1.387,229.861,270.824,287.036
2523,699,223,45,15,3,5,3,2,1,0,0,0,0,0,1,15,20,18,26,4.774,1.386,231.254,272.051,334.858
2439,693,240,53,6,4,3,2,0,1,0,0,0,0,0,0,15,20,26,25,4.852,1.386,224.457,264.351,276.229
2547,672,240,38,7,4,6,0,0,0,0,0,0,0,0,0,16,19,20,0,4.736,1.382,234.257,274.138,276.419
2347,662,223,28,8,4,2,0,1,0,0,1,0,0,0,0,16,21,24,0,4.680,1.387,221.694,258.796,300.359
2453,678,231,62,4,9,4,2,0,0,1,0,0,0,0,0,15,20,31,28,4.803,1.387,225.398,265.997,285.897
