"TOA5","indoor-air","CR1000","47257","CR1000.Std.31.08","CPU:indoorair.cr1","29758","tsdata"
"TIMESTAMP","RECORD","dusttrak2_analog_pm25","dc1100_pm_small","dc1100_pm_large","li840a_CO2","li840a_H2O","li840a_cell_T","li840a_cell_P","li840a_dewpoint","li840a_pwr_src","typeK_amb_T","logger_self_T"
"TS","RN","mg/m^3","counts/m^3","counts/m^3","ppm","ppth","degC","kPa","degC","Vdc","degC","degC"
"","","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-09-06 07:51:00",0,0.000312406,"NAN","NAN",431.4,12.4,75.11,114.6134,8.84,12.27,22.42,24.5
"2017-09-06 07:52:00",1,0.01117723,3799858,3531,434.3,12.43,51.2,91.94329,8.88,12.27,22.46,24.51
"2017-09-06 07:53:00",2,0.03106845,3821047,7062,434.9,12.45,51.2,91.94609,8.9,12.27,22.58,24.51
"2017-09-06 07:54:00",3,0.03093366,3930522,14125,431.5,12.46,51.2,91.94688,8.92,12.27,22.6,24.51
"2017-09-06 07:55:00",4,0.03095134,3884613,3531,430.5,12.48,51.2,91.94485,8.93,12.27,22.61,24.51
"2017-09-06 07:56:00",5,0.03081655,3870487,7062,429.7,12.48,51.2,91.94284,8.94,12.27,22.62,24.51
"2017-09-06 07:57:00",6,0.03021111,3753949,7062,428.8,12.48,51.2,91.94542,8.94,12.27,22.61,24.51
"2017-09-06 07:58:00",7,0.03025751,3746886,3531,428.6,12.5,51.2,91.94581,8.96,12.27,22.63,24.51
"2017-09-06 07:59:00",8,0.03061547,3838704,7062,428.1,12.5,51.2,91.94976,8.97,12.27,22.68,24.51
"2017-09-06 08:00:00",9,0.03107508,3877550,3531,427.7,12.51,51.2,91.94297,8.97,12.27,22.76,24.54
"2017-09-06 08:01:00",10,0.03076352,3969368,3531,427.3,12.51,51.2,91.94702,8.97,12.27,22.79,24.53
"2017-09-06 08:02:00",11,0.02997026,3803389,3531,427,12.5,51.2,91.95499,8.96,12.27,22.79,24.54
"2017-09-06 08:03:00",12,0.03060443,3746886,3531,426.3,12.48,51.2,91.95195,8.93,12.27,22.8,24.54
"2017-09-06 08:04:00",13,0.03074805,3877550,3531,426,12.47,51.2,91.95202,8.92,12.27,22.8,24.54
"2017-09-06 08:05:00",14,0.03040777,3831641,7062,425.7,12.46,51.2,91.9534,8.91,12.27,22.8,24.54
"2017-09-06 08:06:00",15,0.03075247,3845767,0,425.4,12.45,51.2,91.95702,8.9,12.27,22.8,24.54
"2017-09-06 08:07:00",16,0.03003213,3796326,3531,425.3,12.45,51.2,91.95199,8.9,12.27,22.8,24.54
"2017-09-06 08:08:00",17,0.03016249,3789263,3531,425,12.44,51.2,91.95167,8.9,12.27,22.81,24.55
"2017-09-06 08:09:00",18,0.03130488,3828110,0,424.7,12.43,51.2,91.95216,8.88,12.27,22.83,24.57
"2017-09-06 08:10:00",19,0.03127616,3962305,3531,424.4,12.42,51.2,91.9532,8.87,12.27,22.83,24.57
"2017-09-06 08:11:00",20,0.0308055,3905802,3531,427.5,12.43,51.2,91.95286,8.88,12.27,22.83,24.57
"2017-09-06 08:12:00",21,0.03113253,3870487,7062,426.8,12.43,51.2,91.9512,8.88,12.27,22.83,24.57
"2017-09-06 08:13:00",22,0.03166284,3909333,10594,429,12.43,51.2,91.95392,8.88,12.27,22.83,24.57
"2017-09-06 08:14:00",23,0.03109276,3934054,3531,428.6,12.44,51.2,91.95527,8.89,12.27,22.84,24.58
"2017-09-06 08:15:00",24,0.0314242,4001151,3531,428.8,12.43,51.2,91.95543,8.88,12.27,22.85,24.6
"2017-09-06 08:16:00",25,0.03150154,"NAN","NAN",429.2,12.43,51.2,91.96025,8.88,12.27,22.85,24.6
"2017-09-06 08:17:00",26,0.0315148,4050592,3531,429.7,12.42,51.2,91.95676,8.87,12.27,22.85,24.6
"2017-09-06 08:18:00",27,0.03173355,4032935,3531,430.3,12.42,51.2,91.95811,8.87,12.27,22.85,24.6
"2017-09-06 08:19:00",28,0.03140432,3934054,3531,429.3,12.4,51.2,91.95712,8.85,12.27,22.75,24.6
"2017-09-06 08:20:00",29,0.03209152,3923459,3531,429.2,12.41,51.2,91.95159,8.85,12.27,22.84,24.6
"2017-09-06 08:21:00",30,0.03159656,3958774,0,428.8,12.41,51.2,91.95828,8.85,12.27,22.88,24.62
"2017-09-06 08:22:00",31,0.03118556,3937585,0,428.9,12.41,51.2,91.955,8.85,12.27,22.81,24.63
"2017-09-06 08:23:00",32,0.03144409,3941116,3531,428,12.42,51.2,91.95434,8.87,12.27,22.81,24.63
"2017-09-06 08:24:00",33,0.03163412,4018809,3531,427,12.38,51.2,91.95628,8.82,12.27,22.82,24.63
"2017-09-06 08:25:00",34,0.03179321,3997620,3531,425.8,12.36,51.2,91.95209,8.8,12.27,22.86,24.63
"2017-09-06 08:26:00",35,0.03134245,3962305,3531,425.5,12.35,51.2,91.94779,8.78,12.27,22.87,24.63
"2017-09-06 08:27:00",36,0.03096902,3902270,3531,425.5,12.35,51.2,91.94396,8.78,12.27,22.87,24.63
"2017-09-06 08:28:00",37,0.03159656,4032935,7062,426.4,12.35,51.2,91.95139,8.78,12.27,22.88,24.63
"2017-09-06 08:29:00",38,0.03087842,3994088,3531,426.8,12.35,51.2,91.95171,8.78,12.27,22.88,24.63
"2017-09-06 08:30:00",39,0.03116347,3948179,3531,427,12.34,51.2,91.95058,8.77,12.27,22.9,24.65
"2017-09-06 08:31:00",40,0.03111927,3983494,0,426.9,12.33,51.2,91.95152,8.76,12.27,22.91,24.66
"2017-09-06 08:32:00",41,0.03100658,4230697,3531,428.9,12.34,51.2,91.95136,8.77,12.27,22.91,24.66
"2017-09-06 08:33:00",42,0.03074142,3969368,3531,429.8,12.31,51.2,91.95123,8.73,12.27,22.91,24.66
"2017-09-06 08:34:00",43,0.0309204,4008214,3531,429.9,12.28,51.2,91.9484,8.7,12.27,22.92,24.66
"2017-09-06 08:35:00",44,0.03097123,3934054,3531,430.1,12.26,51.2,91.94851,8.68,12.27,22.92,24.66
"2017-09-06 08:36:00",45,0.0306663,3997620,3531,429.8,12.23,51.2,91.94735,8.64,12.27,22.93,24.66
"2017-09-06 08:37:00",46,0.03122313,3895207,3531,429.4,12.2,51.2,91.94913,8.6,12.27,22.93,24.66
"2017-09-06 08:38:00",47,0.03104194,3987026,3531,428.4,12.18,51.2,91.94785,8.58,12.27,22.96,24.66
"2017-09-06 08:39:00",48,0.03063315,3852830,7062,430.5,12.18,51.2,91.95065,8.58,12.27,23.01,24.66
"2017-09-06 08:40:00",49,0.03074363,3895207,17657,430,12.13,51.2,91.95209,8.52,12.27,23.02,24.67
"2017-09-06 08:41:00",50,0.03091157,3905802,14125,430.2,12.12,51.2,91.95071,8.51,12.27,23.05,24.69
"2017-09-06 08:42:00",51,0.03092482,3849298,7062,430.2,12.08,51.2,91.95108,8.45,12.27,23.09,24.69
"2017-09-06 08:43:00",52,0.03087179,3909333,3531,428.6,12,51.2,91.95192,8.36,12.27,23.08,24.69
"2017-09-06 08:44:00",53,0.03102868,4039998,7062,428.9,11.97,51.2,91.95303,8.32,12.27,23.11,24.69
"2017-09-06 08:45:00",54,0.03122975,3881082,3531,427.9,11.97,51.2,91.95212,8.32,12.27,23.11,24.7
"2017-09-06 08:46:00",55,0.03099995,3891676,3531,428.8,11.97,51.2,91.95447,8.32,12.27,23.14,24.71
"2017-09-06 08:47:00",56,0.031148,3983494,3531,429.2,11.97,51.2,91.95487,8.33,12.27,23.14,24.72
"2017-09-06 08:48:00",57,0.03122092,4022340,0,429.3,11.99,51.2,91.95621,8.34,12.27,23.14,24.72
"2017-09-06 08:49:00",58,0.0315148,3990557,0,431,12.01,51.2,91.95477,8.37,12.27,23.15,24.72
"2017-09-06 08:50:00",59,0.03106182,4032935,3531,430.9,12.01,51.2,91.9576,8.37,12.27,23.18,24.73
"2017-09-06 08:51:00",60,0.0308519,4071781,10594,433.6,12.03,51.2,91.9576,8.39,12.27,23.2,24.75
"2017-09-06 08:52:00",61,0.03057128,3987026,14125,433.3,12.01,51.2,91.9566,8.37,12.27,23.17,24.75
"2017-09-06 08:53:00",62,0.03067292,3866956,7062,431.1,11.98,51.2,91.95448,8.33,12.27,23.18,24.75
"2017-09-06 08:54:00",63,0.03114137,3852830,7062,430.2,11.94,51.2,91.95721,8.29,12.27,23.22,24.77
