Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530150710
Firmware Version,3.5
Calibration Date,2017/05/02
Test Name,IAQ_OUTDOOR_027
Test Start Time,10:51:04
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.041
Mass Minimum [mg/m3],0.014
Mass Maximum [mg/m3],0.360
Mass TWA [mg/m3],0.120
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.356,,
240,0.359,,
360,0.357,,
480,0.358,,
600,0.357,,
720,0.355,,
840,0.355,,
960,0.355,,
1080,0.353,,
1200,0.353,,
1320,0.352,,
1440,0.351,,
1560,0.351,,
1680,0.349,,
1800,0.358,,
1920,0.360,,
2040,0.360,,
2160,0.360,,
2280,0.358,,
2400,0.357,,
2520,0.358,,
2640,0.356,,
2760,0.355,,
2880,0.355,,
3000,0.355,,
3120,0.354,,
3240,0.351,,
3360,0.350,,
3480,0.350,,
3600,0.349,,
3720,0.348,,
3840,0.348,,
3960,0.347,,
4080,0.347,,
4200,0.347,,
4320,0.346,,
4440,0.346,,
4560,0.345,,
4680,0.345,,
4800,0.344,,
4920,0.344,,
5040,0.345,,
5160,0.342,,
5280,0.341,,
5400,0.340,,
5520,0.341,,
5640,0.341,,
5760,0.339,,
5880,0.337,,
6000,0.336,,
6120,0.332,,
6240,0.332,,
6360,0.331,,
6480,0.332,,
6600,0.325,,
6720,0.283,,
6840,0.310,,
6960,0.321,,
7080,0.319,,
7200,0.315,,
7320,0.296,,
7440,0.309,,
7560,0.308,,
7680,0.254,,
7800,0.082,,
7920,0.054,,
8040,0.046,,
8160,0.047,,
8280,0.049,,
8400,0.049,,
8520,0.048,,
8640,0.048,,
8760,0.049,,
8880,0.050,,
9000,0.050,,
9120,0.050,,
9240,0.052,,
9360,0.053,,
9480,0.054,,
9600,0.058,,
9720,0.058,,
9840,0.059,,
9960,0.061,,
10080,0.061,,
10200,0.061,,
10320,0.060,,
10440,0.062,,
10560,0.061,,
10680,0.058,,
10800,0.052,,
10920,0.050,,
11040,0.047,,
11160,0.045,,
11280,0.042,,
11400,0.042,,
11520,0.042,,
11640,0.044,,
11760,0.045,,
11880,0.047,,
12000,0.046,,
12120,0.045,,
12240,0.046,,
12360,0.047,,
12480,0.044,,
12600,0.041,,
12720,0.038,,
12840,0.037,,
12960,0.037,,
13080,0.033,,
13200,0.030,,
13320,0.027,,
13440,0.026,,
13560,0.027,,
13680,0.028,,
13800,0.028,,
13920,0.028,,
14040,0.031,,
14160,0.035,,
14280,0.031,,
14400,0.033,,
14520,0.032,,
14640,0.031,,
14760,0.030,,
14880,0.030,,
15000,0.030,,
15120,0.031,,
15240,0.032,,
15360,0.032,,
15480,0.033,,
15600,0.034,,
15720,0.033,,
15840,0.032,,
15960,0.034,,
16080,0.034,,
16200,0.032,,
16320,0.032,,
16440,0.032,,
16560,0.033,,
16680,0.032,,
16800,0.033,,
16920,0.033,,
17040,0.034,,
17160,0.034,,
17280,0.032,,
17400,0.030,,
17520,0.029,,
17640,0.029,,
17760,0.030,,
17880,0.030,,
18000,0.029,,
18120,0.027,,
18240,0.027,,
18360,0.026,,
18480,0.026,,
18600,0.027,,
18720,0.027,,
18840,0.027,,
18960,0.028,,
19080,0.028,,
19200,0.029,,
19320,0.029,,
19440,0.029,,
19560,0.030,,
19680,0.032,,
19800,0.031,,
19920,0.030,,
20040,0.030,,
20160,0.030,,
20280,0.031,,
20400,0.032,,
20520,0.031,,
20640,0.030,,
20760,0.030,,
20880,0.030,,
21000,0.030,,
21120,0.031,,
21240,0.032,,
21360,0.033,,
21480,0.034,,
21600,0.035,,
21720,0.036,,
21840,0.036,,
21960,0.037,,
22080,0.037,,
22200,0.036,,
22320,0.036,,
22440,0.036,,
22560,0.035,,
22680,0.035,,
22800,0.036,,
22920,0.036,,
23040,0.037,,
23160,0.037,,
23280,0.037,,
23400,0.037,,
23520,0.037,,
23640,0.037,,
23760,0.038,,
23880,0.038,,
24000,0.038,,
24120,0.038,,
24240,0.038,,
24360,0.039,,
24480,0.039,,
24600,0.039,,
24720,0.039,,
24840,0.040,,
24960,0.040,,
25080,0.040,,
25200,0.040,,
25320,0.040,,
25440,0.041,,
25560,0.041,,
25680,0.041,,
25800,0.042,,
25920,0.042,,
26040,0.042,,
26160,0.042,,
26280,0.041,,
26400,0.041,,
26520,0.041,,
26640,0.041,,
26760,0.041,,
26880,0.041,,
27000,0.041,,
27120,0.042,,
27240,0.042,,
27360,0.043,,
27480,0.043,,
27600,0.043,,
27720,0.043,,
27840,0.044,,
27960,0.044,,
28080,0.044,,
28200,0.044,,
28320,0.044,,
28440,0.044,,
28560,0.045,,
28680,0.045,,
28800,0.045,,
28920,0.045,,
29040,0.045,,
29160,0.045,,
29280,0.045,,
29400,0.044,,
29520,0.044,,
29640,0.044,,
29760,0.044,,
29880,0.044,,
30000,0.044,,
30120,0.044,,
30240,0.044,,
30360,0.044,,
30480,0.045,,
30600,0.045,,
30720,0.046,,
30840,0.047,,
30960,0.049,,
31080,0.049,,
31200,0.049,,
31320,0.049,,
31440,0.049,,
31560,0.049,,
31680,0.049,,
31800,0.049,,
31920,0.049,,
32040,0.049,,
32160,0.049,,
32280,0.050,,
32400,0.049,,
32520,0.049,,
32640,0.049,,
32760,0.049,,
32880,0.049,,
33000,0.049,,
33120,0.049,,
33240,0.049,,
33360,0.049,,
33480,0.049,,
33600,0.049,,
33720,0.049,,
33840,0.049,,
33960,0.049,,
34080,0.048,,
34200,0.048,,
34320,0.048,,
34440,0.048,,
34560,0.047,,
34680,0.047,,
34800,0.047,,
34920,0.047,,
35040,0.046,,
35160,0.046,,
35280,0.045,,
35400,0.046,,
35520,0.045,,
35640,0.045,,
35760,0.044,,
35880,0.044,,
36000,0.043,,
36120,0.043,,
36240,0.043,,
36360,0.042,,
36480,0.042,,
36600,0.041,,
36720,0.041,,
36840,0.040,,
36960,0.040,,
37080,0.040,,
37200,0.040,,
37320,0.039,,
37440,0.039,,
37560,0.039,,
37680,0.038,,
37800,0.038,,
37920,0.038,,
38040,0.038,,
38160,0.038,,
38280,0.037,,
38400,0.037,,
38520,0.037,,
38640,0.037,,
38760,0.037,,
38880,0.036,,
39000,0.036,,
39120,0.036,,
39240,0.036,,
39360,0.036,,
39480,0.036,,
39600,0.038,,
39720,0.038,,
39840,0.038,,
39960,0.038,,
40080,0.039,,
40200,0.039,,
40320,0.039,,
40440,0.039,,
40560,0.039,,
40680,0.040,,
40800,0.040,,
40920,0.040,,
41040,0.040,,
41160,0.040,,
41280,0.040,,
41400,0.040,,
41520,0.040,,
41640,0.040,,
41760,0.040,,
41880,0.040,,
42000,0.040,,
42120,0.040,,
42240,0.039,,
42360,0.039,,
42480,0.039,,
42600,0.039,,
42720,0.038,,
42840,0.038,,
42960,0.038,,
43080,0.038,,
43200,0.038,,
43320,0.038,,
43440,0.037,,
43560,0.037,,
43680,0.037,,
43800,0.037,,
43920,0.037,,
44040,0.037,,
44160,0.037,,
44280,0.037,,
44400,0.036,,
44520,0.036,,
44640,0.036,,
44760,0.036,,
44880,0.035,,
45000,0.035,,
45120,0.035,,
45240,0.035,,
45360,0.035,,
45480,0.035,,
45600,0.034,,
45720,0.034,,
45840,0.034,,
45960,0.034,,
46080,0.034,,
46200,0.033,,
46320,0.033,,
46440,0.033,,
46560,0.033,,
46680,0.033,,
46800,0.033,,
46920,0.033,,
47040,0.032,,
47160,0.032,,
47280,0.032,,
47400,0.032,,
47520,0.031,,
47640,0.031,,
47760,0.031,,
47880,0.031,,
48000,0.031,,
48120,0.031,,
48240,0.031,,
48360,0.031,,
48480,0.031,,
48600,0.031,,
48720,0.031,,
48840,0.030,,
48960,0.030,,
49080,0.030,,
49200,0.030,,
49320,0.030,,
49440,0.030,,
49560,0.030,,
49680,0.030,,
49800,0.030,,
49920,0.030,,
50040,0.030,,
50160,0.030,,
50280,0.030,,
50400,0.030,,
50520,0.029,,
50640,0.029,,
50760,0.029,,
50880,0.029,,
51000,0.030,,
51120,0.030,,
51240,0.029,,
51360,0.029,,
51480,0.029,,
51600,0.028,,
51720,0.028,,
51840,0.028,,
51960,0.028,,
52080,0.029,,
52200,0.028,,
52320,0.028,,
52440,0.028,,
52560,0.028,,
52680,0.027,,
52800,0.027,,
52920,0.027,,
53040,0.027,,
53160,0.027,,
53280,0.027,,
53400,0.027,,
53520,0.027,,
53640,0.027,,
53760,0.026,,
53880,0.027,,
54000,0.027,,
54120,0.027,,
54240,0.027,,
54360,0.027,,
54480,0.027,,
54600,0.027,,
54720,0.027,,
54840,0.027,,
54960,0.027,,
55080,0.027,,
55200,0.027,,
55320,0.027,,
55440,0.027,,
55560,0.027,,
55680,0.027,,
55800,0.026,,
55920,0.025,,
56040,0.026,,
56160,0.025,,
56280,0.025,,
56400,0.025,,
56520,0.026,,
56640,0.026,,
56760,0.027,,
56880,0.027,,
57000,0.027,,
57120,0.027,,
57240,0.027,,
57360,0.027,,
57480,0.027,,
57600,0.027,,
57720,0.027,,
57840,0.026,,
57960,0.026,,
58080,0.025,,
58200,0.025,,
58320,0.025,,
58440,0.025,,
58560,0.025,,
58680,0.025,,
58800,0.025,,
58920,0.025,,
59040,0.025,,
59160,0.025,,
59280,0.025,,
59400,0.025,,
59520,0.025,,
59640,0.025,,
59760,0.024,,
59880,0.025,,
60000,0.025,,
60120,0.025,,
60240,0.025,,
60360,0.025,,
60480,0.025,,
60600,0.025,,
60720,0.025,,
60840,0.026,,
60960,0.026,,
61080,0.026,,
61200,0.026,,
61320,0.025,,
61440,0.025,,
61560,0.025,,
61680,0.025,,
61800,0.025,,
61920,0.025,,
62040,0.025,,
62160,0.025,,
62280,0.025,,
62400,0.025,,
62520,0.025,,
62640,0.025,,
62760,0.025,,
62880,0.025,,
63000,0.025,,
63120,0.025,,
63240,0.025,,
63360,0.025,,
63480,0.025,,
63600,0.026,,
63720,0.026,,
63840,0.026,,
63960,0.026,,
64080,0.026,,
64200,0.026,,
64320,0.026,,
64440,0.026,,
64560,0.026,,
64680,0.026,,
64800,0.026,,
64920,0.028,,
65040,0.026,,
65160,0.026,,
65280,0.026,,
65400,0.026,,
65520,0.026,,
65640,0.026,,
65760,0.026,,
65880,0.026,,
66000,0.026,,
66120,0.026,,
66240,0.026,,
66360,0.026,,
66480,0.026,,
66600,0.026,,
66720,0.026,,
66840,0.026,,
66960,0.027,,
67080,0.027,,
67200,0.027,,
67320,0.027,,
67440,0.027,,
67560,0.027,,
67680,0.027,,
67800,0.027,,
67920,0.027,,
68040,0.027,,
68160,0.027,,
68280,0.027,,
68400,0.027,,
68520,0.028,,
68640,0.028,,
68760,0.028,,
68880,0.028,,
69000,0.029,,
69120,0.029,,
69240,0.029,,
69360,0.029,,
69480,0.030,,
69600,0.030,,
69720,0.030,,
69840,0.030,,
69960,0.030,,
70080,0.031,,
70200,0.032,,
70320,0.031,,
70440,0.032,,
70560,0.033,,
70680,0.033,,
70800,0.034,,
70920,0.034,,
71040,0.034,,
71160,0.034,,
71280,0.034,,
71400,0.035,,
71520,0.035,,
71640,0.035,,
71760,0.035,,
71880,0.035,,
72000,0.035,,
72120,0.035,,
72240,0.035,,
72360,0.035,,
72480,0.036,,
72600,0.036,,
72720,0.036,,
72840,0.036,,
72960,0.036,,
73080,0.036,,
73200,0.037,,
73320,0.036,,
73440,0.036,,
73560,0.036,,
73680,0.036,,
73800,0.036,,
73920,0.036,,
74040,0.036,,
74160,0.035,,
74280,0.035,,
74400,0.034,,
74520,0.034,,
74640,0.033,,
74760,0.034,,
74880,0.033,,
75000,0.034,,
75120,0.035,,
75240,0.034,,
75360,0.033,,
75480,0.033,,
75600,0.033,,
75720,0.033,,
75840,0.033,,
75960,0.033,,
76080,0.033,,
76200,0.033,,
76320,0.033,,
76440,0.033,,
76560,0.033,,
76680,0.033,,
76800,0.034,,
76920,0.033,,
77040,0.033,,
77160,0.033,,
77280,0.033,,
77400,0.033,,
77520,0.033,,
77640,0.032,,
77760,0.032,,
77880,0.032,,
78000,0.031,,
78120,0.031,,
78240,0.031,,
78360,0.031,,
78480,0.032,,
78600,0.031,,
78720,0.031,,
78840,0.031,,
78960,0.031,,
79080,0.030,,
79200,0.029,,
79320,0.029,,
79440,0.030,,
79560,0.029,,
79680,0.027,,
79800,0.028,,
79920,0.027,,
80040,0.027,,
80160,0.026,,
80280,0.027,,
80400,0.026,,
80520,0.025,,
80640,0.025,,
80760,0.023,,
80880,0.022,,
81000,0.023,,
81120,0.025,,
81240,0.024,,
81360,0.024,,
81480,0.024,,
81600,0.022,,
81720,0.023,,
81840,0.023,,
81960,0.025,,
82080,0.026,,
82200,0.025,,
82320,0.026,,
82440,0.027,,
82560,0.027,,
82680,0.027,,
82800,0.026,,
82920,0.025,,
83040,0.025,,
83160,0.025,,
83280,0.025,,
83400,0.026,,
83520,0.025,,
83640,0.025,,
83760,0.026,,
83880,0.026,,
84000,0.024,,
84120,0.024,,
84240,0.024,,
84360,0.024,,
84480,0.026,,
84600,0.025,,
84720,0.025,,
84840,0.026,,
84960,0.026,,
85080,0.025,,
85200,0.025,,
85320,0.025,,
85440,0.026,,
85560,0.025,,
85680,0.025,,
85800,0.025,,
85920,0.025,,
86040,0.025,,
86160,0.025,,
86280,0.025,,
86400,0.025,,
86520,0.022,,
86640,0.022,,
86760,0.023,,
86880,0.023,,
87000,0.023,,
87120,0.023,,
87240,0.023,,
87360,0.023,,
87480,0.022,,
87600,0.022,,
87720,0.022,,
87840,0.022,,
87960,0.022,,
88080,0.022,,
88200,0.022,,
88320,0.022,,
88440,0.022,,
88560,0.022,,
88680,0.022,,
88800,0.022,,
88920,0.022,,
89040,0.022,,
89160,0.022,,
89280,0.022,,
89400,0.022,,
89520,0.022,,
89640,0.022,,
89760,0.022,,
89880,0.022,,
90000,0.022,,
90120,0.022,,
90240,0.022,,
90360,0.022,,
90480,0.022,,
90600,0.022,,
90720,0.022,,
90840,0.022,,
90960,0.022,,
91080,0.022,,
91200,0.022,,
91320,0.022,,
91440,0.022,,
91560,0.022,,
91680,0.022,,
91800,0.022,,
91920,0.022,,
92040,0.022,,
92160,0.022,,
92280,0.022,,
92400,0.022,,
92520,0.022,,
92640,0.021,,
92760,0.022,,
92880,0.022,,
93000,0.021,,
93120,0.021,,
93240,0.021,,
93360,0.021,,
93480,0.021,,
93600,0.021,,
93720,0.021,,
93840,0.021,,
93960,0.021,,
94080,0.021,,
94200,0.021,,
94320,0.021,,
94440,0.021,,
94560,0.021,,
94680,0.021,,
94800,0.021,,
94920,0.021,,
95040,0.021,,
95160,0.021,,
95280,0.021,,
95400,0.021,,
95520,0.021,,
95640,0.021,,
95760,0.021,,
95880,0.021,,
96000,0.020,,
96120,0.020,,
96240,0.020,,
96360,0.020,,
96480,0.020,,
96600,0.020,,
96720,0.020,,
96840,0.020,,
96960,0.020,,
97080,0.020,,
97200,0.020,,
97320,0.020,,
97440,0.020,,
97560,0.019,,
97680,0.019,,
97800,0.019,,
97920,0.019,,
98040,0.019,,
98160,0.020,,
98280,0.019,,
98400,0.019,,
98520,0.019,,
98640,0.019,,
98760,0.019,,
98880,0.019,,
99000,0.019,,
99120,0.019,,
99240,0.019,,
99360,0.019,,
99480,0.019,,
99600,0.019,,
99720,0.019,,
99840,0.019,,
99960,0.019,,
100080,0.019,,
100200,0.019,,
100320,0.019,,
100440,0.018,,
100560,0.018,,
100680,0.018,,
100800,0.019,,
100920,0.019,,
101040,0.018,,
101160,0.019,,
101280,0.018,,
101400,0.019,,
101520,0.019,,
101640,0.019,,
101760,0.019,,
101880,0.018,,
102000,0.018,,
102120,0.019,,
102240,0.019,,
102360,0.018,,
102480,0.018,,
102600,0.018,,
102720,0.019,,
102840,0.019,,
102960,0.019,,
103080,0.019,,
103200,0.019,,
103320,0.019,,
103440,0.019,,
103560,0.019,,
103680,0.019,,
103800,0.019,,
103920,0.018,,
104040,0.019,,
104160,0.019,,
104280,0.019,,
104400,0.018,,
104520,0.018,,
104640,0.018,,
104760,0.018,,
104880,0.019,,
105000,0.018,,
105120,0.019,,
105240,0.019,,
105360,0.019,,
105480,0.019,,
105600,0.019,,
105720,0.019,,
105840,0.019,,
105960,0.018,,
106080,0.019,,
106200,0.019,,
106320,0.019,,
106440,0.019,,
106560,0.019,,
106680,0.019,,
106800,0.019,,
106920,0.019,,
107040,0.018,,
107160,0.018,,
107280,0.019,,
107400,0.018,,
107520,0.018,,
107640,0.018,,
107760,0.018,,
107880,0.018,,
108000,0.018,,
108120,0.018,,
108240,0.018,,
108360,0.018,,
108480,0.018,,
108600,0.018,,
108720,0.018,,
108840,0.018,,
108960,0.018,,
109080,0.018,,
109200,0.019,,
109320,0.018,,
109440,0.018,,
109560,0.018,,
109680,0.019,,
109800,0.018,,
109920,0.019,,
110040,0.019,,
110160,0.019,,
110280,0.019,,
110400,0.019,,
110520,0.019,,
110640,0.019,,
110760,0.019,,
110880,0.019,,
111000,0.019,,
111120,0.019,,
111240,0.019,,
111360,0.019,,
111480,0.019,,
111600,0.019,,
111720,0.019,,
111840,0.019,,
111960,0.019,,
112080,0.019,,
112200,0.019,,
112320,0.018,,
112440,0.018,,
112560,0.018,,
112680,0.018,,
112800,0.018,,
112920,0.017,,
113040,0.017,,
113160,0.017,,
113280,0.017,,
113400,0.017,,
113520,0.017,,
113640,0.017,,
113760,0.017,,
113880,0.018,,
114000,0.018,,
114120,0.018,,
114240,0.018,,
114360,0.018,,
114480,0.017,,
114600,0.017,,
114720,0.017,,
114840,0.017,,
114960,0.017,,
115080,0.017,,
115200,0.017,,
115320,0.017,,
115440,0.017,,
115560,0.017,,
115680,0.018,,
115800,0.018,,
115920,0.018,,
116040,0.018,,
116160,0.018,,
116280,0.018,,
116400,0.019,,
116520,0.019,,
116640,0.019,,
116760,0.019,,
116880,0.019,,
117000,0.019,,
117120,0.018,,
117240,0.018,,
117360,0.018,,
117480,0.018,,
117600,0.018,,
117720,0.018,,
117840,0.018,,
117960,0.018,,
118080,0.018,,
118200,0.019,,
118320,0.019,,
118440,0.019,,
118560,0.019,,
118680,0.019,,
118800,0.019,,
118920,0.019,,
119040,0.019,,
119160,0.019,,
119280,0.019,,
119400,0.019,,
119520,0.019,,
119640,0.019,,
119760,0.019,,
119880,0.019,,
120000,0.019,,
120120,0.019,,
120240,0.019,,
120360,0.019,,
120480,0.019,,
120600,0.019,,
120720,0.019,,
120840,0.019,,
120960,0.019,,
121080,0.019,,
121200,0.019,,
121320,0.019,,
121440,0.019,,
121560,0.019,,
121680,0.019,,
121800,0.019,,
121920,0.019,,
122040,0.019,,
122160,0.020,,
122280,0.019,,
122400,0.019,,
122520,0.019,,
122640,0.019,,
122760,0.019,,
122880,0.019,,
123000,0.019,,
123120,0.019,,
123240,0.019,,
123360,0.019,,
123480,0.020,,
123600,0.020,,
123720,0.019,,
123840,0.019,,
123960,0.019,,
124080,0.019,,
124200,0.019,,
124320,0.019,,
124440,0.019,,
124560,0.019,,
124680,0.019,,
124800,0.019,,
124920,0.019,,
125040,0.019,,
125160,0.019,,
125280,0.019,,
125400,0.019,,
125520,0.019,,
125640,0.019,,
125760,0.019,,
125880,0.020,,
126000,0.020,,
126120,0.020,,
126240,0.020,,
126360,0.019,,
126480,0.019,,
126600,0.019,,
126720,0.019,,
126840,0.019,,
126960,0.019,,
127080,0.019,,
127200,0.019,,
127320,0.019,,
127440,0.019,,
127560,0.019,,
127680,0.019,,
127800,0.019,,
127920,0.019,,
128040,0.019,,
128160,0.019,,
128280,0.019,,
128400,0.019,,
128520,0.019,,
128640,0.019,,
128760,0.019,,
128880,0.019,,
129000,0.019,,
129120,0.018,,
129240,0.018,,
129360,0.018,,
129480,0.018,,
129600,0.018,,
129720,0.019,,
129840,0.018,,
129960,0.018,,
130080,0.018,,
130200,0.019,,
130320,0.018,,
130440,0.019,,
130560,0.019,,
130680,0.018,,
130800,0.018,,
130920,0.019,,
131040,0.019,,
131160,0.019,,
131280,0.019,,
131400,0.018,,
131520,0.018,,
131640,0.018,,
131760,0.018,,
131880,0.019,,
132000,0.019,,
132120,0.018,,
132240,0.018,,
132360,0.019,,
132480,0.019,,
132600,0.019,,
132720,0.019,,
132840,0.019,,
132960,0.019,,
133080,0.019,,
133200,0.019,,
133320,0.019,,
133440,0.019,,
133560,0.019,,
133680,0.019,,
133800,0.019,,
133920,0.019,,
134040,0.018,,
134160,0.018,,
134280,0.018,,
