Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530150710
Firmware Version,3.5
Calibration Date,2017/05/02
Test Name,ROOFSMOKE_028
Test Start Time,11:04:31
Test Start Date,2018/08/23
Test Length [D:H:M],1:6:30
Test Interval [M:S],2:0
Mass Average [mg/m3],0.014
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.070
Mass TWA [mg/m3],0.038
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,915

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.061,,
240,0.061,,
360,0.061,,
480,0.062,,
600,0.064,,
720,0.065,,
840,0.064,,
960,0.064,,
1080,0.065,,
1200,0.064,,
1320,0.064,,
1440,0.064,,
1560,0.063,,
1680,0.063,,
1800,0.064,,
1920,0.064,,
2040,0.063,,
2160,0.063,,
2280,0.063,,
2400,0.062,,
2520,0.065,,
2640,0.066,,
2760,0.065,,
2880,0.066,,
3000,0.065,,
3120,0.067,,
3240,0.069,,
3360,0.069,,
3480,0.070,,
3600,0.067,,
3720,0.066,,
3840,0.068,,
3960,0.067,,
4080,0.069,,
4200,0.067,,
4320,0.069,,
4440,0.069,,
4560,0.067,,
4680,0.066,,
4800,0.068,,
4920,0.067,,
5040,0.063,,
5160,0.062,,
5280,0.063,,
5400,0.061,,
5520,0.063,,
5640,0.062,,
5760,0.061,,
5880,0.062,,
6000,0.062,,
6120,0.060,,
6240,0.060,,
6360,0.058,,
6480,0.055,,
6600,0.057,,
6720,0.057,,
6840,0.056,,
6960,0.057,,
7080,0.057,,
7200,0.055,,
7320,0.055,,
7440,0.058,,
7560,0.057,,
7680,0.057,,
7800,0.059,,
7920,0.053,,
8040,0.054,,
8160,0.055,,
8280,0.054,,
8400,0.054,,
8520,0.049,,
8640,0.052,,
8760,0.054,,
8880,0.051,,
9000,0.052,,
9120,0.052,,
9240,0.051,,
9360,0.051,,
9480,0.049,,
9600,0.048,,
9720,0.049,,
9840,0.048,,
9960,0.046,,
10080,0.045,,
10200,0.047,,
10320,0.045,,
10440,0.040,,
10560,0.041,,
10680,0.043,,
10800,0.041,,
10920,0.037,,
11040,0.040,,
11160,0.039,,
11280,0.039,,
11400,0.037,,
11520,0.037,,
11640,0.038,,
11760,0.039,,
11880,0.039,,
12000,0.040,,
12120,0.042,,
12240,0.041,,
12360,0.042,,
12480,0.040,,
12600,0.041,,
12720,0.041,,
12840,0.040,,
12960,0.039,,
13080,0.040,,
13200,0.039,,
13320,0.039,,
13440,0.039,,
13560,0.037,,
13680,0.038,,
13800,0.036,,
13920,0.036,,
14040,0.034,,
14160,0.034,,
14280,0.032,,
14400,0.033,,
14520,0.032,,
14640,0.032,,
14760,0.033,,
14880,0.036,,
15000,0.036,,
15120,0.037,,
15240,0.037,,
15360,0.037,,
15480,0.038,,
15600,0.039,,
15720,0.037,,
15840,0.036,,
15960,0.036,,
16080,0.038,,
16200,0.036,,
16320,0.036,,
16440,0.036,,
16560,0.037,,
16680,0.038,,
16800,0.039,,
16920,0.037,,
17040,0.037,,
17160,0.037,,
17280,0.037,,
17400,0.035,,
17520,0.035,,
17640,0.035,,
17760,0.035,,
17880,0.035,,
18000,0.034,,
18120,0.032,,
18240,0.032,,
18360,0.033,,
18480,0.032,,
18600,0.030,,
18720,0.028,,
18840,0.028,,
18960,0.027,,
19080,0.026,,
19200,0.026,,
19320,0.026,,
19440,0.027,,
19560,0.026,,
19680,0.026,,
19800,0.026,,
19920,0.026,,
20040,0.026,,
20160,0.026,,
20280,0.026,,
20400,0.026,,
20520,0.026,,
20640,0.026,,
20760,0.024,,
20880,0.025,,
21000,0.024,,
21120,0.024,,
