Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.427,,
240,0.426,,
360,0.424,,
480,0.424,,
600,0.424,,
720,0.421,,
840,0.421,,
960,0.420,,
1080,0.420,,
1200,0.419,,
1320,0.419,,
1440,0.417,,
1560,0.417,,
1680,0.414,,
1800,0.412,,
1920,0.411,,
2040,0.411,,
2160,0.410,,
2280,0.408,,
2400,0.406,,
2520,0.407,,
2640,0.406,,
2760,0.404,,
2880,0.403,,
3000,0.404,,
3120,0.402,,
3240,0.399,,
3360,0.398,,
3480,0.399,,
3600,0.398,,
3720,0.396,,
3840,0.396,,
3960,0.395,,
4080,0.394,,
4200,0.394,,
4320,0.394,,
4440,0.394,,
4560,0.393,,
4680,0.393,,
4800,0.393,,
4920,0.391,,
5040,0.391,,
5160,0.389,,
5280,0.388,,
5400,0.387,,
5520,0.388,,
5640,0.388,,
5760,0.385,,
5880,0.383,,
6000,0.382,,
6120,0.377,,
6240,0.377,,
6360,0.377,,
6480,0.377,,
6600,0.369,,
6720,0.323,,
6840,0.353,,
6960,0.365,,
7080,0.362,,
7200,0.358,,
7320,0.337,,
7440,0.352,,
7560,0.350,,
7680,0.286,,
7800,0.093,,
7920,0.065,,
8040,0.053,,
8160,0.053,,
8280,0.057,,
8400,0.057,,
8520,0.054,,
8640,0.054,,
8760,0.056,,
8880,0.057,,
9000,0.057,,
9120,0.057,,
9240,0.059,,
9360,0.060,,
9480,0.061,,
9600,0.066,,
9720,0.066,,
9840,0.067,,
9960,0.069,,
10080,0.069,,
10200,0.069,,
10320,0.069,,
10440,0.070,,
10560,0.069,,
10680,0.067,,
10800,0.060,,
10920,0.057,,
11040,0.053,,
11160,0.051,,
11280,0.048,,
11400,0.048,,
11520,0.048,,
11640,0.050,,
11760,0.051,,
11880,0.054,,
12000,0.052,,
12120,0.052,,
12240,0.053,,
12360,0.053,,
12480,0.050,,
12600,0.047,,
12720,0.044,,
12840,0.042,,
12960,0.043,,
13080,0.038,,
13200,0.034,,
13320,0.032,,
13440,0.030,,
13560,0.031,,
13680,0.032,,
13800,0.032,,
13920,0.032,,
14040,0.035,,
14160,0.040,,
14280,0.035,,
14400,0.038,,
14520,0.036,,
14640,0.036,,
14760,0.035,,
14880,0.035,,
15000,0.035,,
15120,0.035,,
15240,0.037,,
15360,0.037,,
15480,0.037,,
15600,0.039,,
15720,0.038,,
15840,0.037,,
15960,0.039,,
16080,0.039,,
16200,0.037,,
16320,0.037,,
16440,0.037,,
16560,0.038,,
16680,0.037,,
16800,0.038,,
16920,0.038,,
17040,0.039,,
17160,0.039,,
17280,0.037,,
17400,0.035,,
17520,0.033,,
17640,0.033,,
17760,0.034,,
17880,0.034,,
18000,0.033,,
18120,0.032,,
18240,0.031,,
18360,0.030,,
18480,0.030,,
18600,0.030,,
18720,0.031,,
18840,0.032,,
18960,0.032,,
19080,0.033,,
19200,0.033,,
19320,0.033,,
19440,0.033,,
19560,0.034,,
19680,0.037,,
19800,0.036,,
19920,0.034,,
20040,0.034,,
20160,0.034,,
20280,0.036,,
20400,0.036,,
20520,0.036,,
20640,0.034,,
20760,0.034,,
20880,0.034,,
21000,0.035,,
21120,0.036,,
21240,0.036,,
21360,0.037,,
21480,0.039,,
21600,0.040,,
21720,0.041,,
21840,0.041,,
21960,0.042,,
22080,0.042,,
22200,0.041,,
22320,0.041,,
22440,0.041,,
22560,0.040,,
22680,0.041,,
22800,0.041,,
22920,0.041,,
23040,0.042,,
23160,0.042,,
23280,0.042,,
23400,0.042,,
23520,0.043,,
23640,0.043,,
23760,0.043,,
23880,0.043,,
24000,0.044,,
24120,0.044,,
24240,0.044,,
24360,0.044,,
24480,0.044,,
24600,0.044,,
