"TOA5","lab-cr3000","CR3000","9669","CR3000.Std.28.02","CPU:dust_sensor_eval.cr3","11175","dylos"
"TIMESTAMP","RECORD","dc1100_A_pm_small","dc1100_A_pm_large","dc1100_B_pm_small","dc1100_B_pm_large"
"TS","RN","counts/m^3","counts/m^3","counts/m^3","counts/m^3"
"","","Smp","Smp","Smp","Smp"
"2018-08-17 18:13:00",5,632,62,333,39
"2018-08-17 18:14:00",6,632,62,471,90
"2018-08-17 18:15:00",7,632,62,341,41
"2018-08-17 18:16:00",8,632,62,315,36
"2018-08-17 18:17:00",9,632,62,328,37
"2018-08-17 18:18:00",10,632,62,298,31
"2018-08-17 18:19:00",11,632,62,330,40
"2018-08-17 18:20:00",12,632,62,328,44
"2018-08-17 18:21:00",13,632,62,321,41
"2018-08-17 18:22:00",14,632,62,310,36
"2018-08-17 18:23:00",15,632,62,312,35
"2018-08-17 18:24:00",16,632,62,314,44
"2018-08-17 18:25:00",17,632,62,314,41
"2018-08-17 18:26:00",18,632,62,320,34
"2018-08-17 18:27:00",19,632,62,332,37
"2018-08-17 18:28:00",20,632,62,333,43
"2018-08-17 18:29:00",21,632,62,321,34
"2018-08-17 18:30:00",22,632,62,333,37
"2018-08-17 18:31:00",23,632,62,351,39
"2018-08-17 18:32:00",24,632,62,331,36
"2018-08-17 18:33:00",25,632,62,311,36
"2018-08-17 18:34:00",26,632,62,300,32
"2018-08-17 18:35:00",27,632,62,303,25
"2018-08-17 18:36:00",28,632,62,304,28
"2018-08-17 18:37:00",29,632,62,306,30
"2018-08-17 18:38:00",30,632,62,312,29
"2018-08-17 18:39:00",31,632,62,310,28
"2018-08-17 18:40:00",32,632,62,334,31
"2018-08-17 18:41:00",33,632,62,390,36
"2018-08-17 18:42:00",34,632,62,453,40
"2018-08-17 18:43:00",35,632,62,468,43
"2018-08-17 18:44:00",36,632,62,491,46
"2018-08-17 18:45:00",37,632,62,482,50
"2018-08-17 18:46:00",38,632,62,524,50
"2018-08-17 18:47:00",39,632,62,532,52
"2018-08-17 18:48:00",40,632,62,580,57
