"TOA5","indoorair","CR1000","47257","CR1000.Std.31.08","CPU:indoorair.cr1","45683","tsdata"
"TIMESTAMP","RECORD","dusttrak2_analog_pm25","dc1100_pm_small","dc1100_pm_large","li840a_CO2","li840a_H2O","li840a_cell_T","li840a_cell_P","li840a_dewpoint","li840a_pwr_src","typeK_amb_T","logger_self_T"
"TS","RN","mg/m^3","counts/m^3","counts/m^3","ppm","ppth","degC","kPa","degC","Vdc","degC","degC"
"","","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-23 16:07:00",0,0.0202434,"NAN","NAN",535.2047,8.7099,100.5021,138.2195,3.641939,12.26265,23.5,24.75
"2018-08-23 16:08:00",1,0.02036272,2846362,38846,469.9447,8.496926,51.20155,91.43405,3.292155,12.26366,23.47,24.75
"2018-08-23 16:09:00",2,0.01982578,2832236,28251,467.8484,8.48777,51.20299,91.43296,3.276768,12.2623,23.41,24.78
"2018-08-23 16:10:00",3,0.01961807,2747481,31783,466.343,8.487772,51.20382,91.43362,3.276901,12.26362,23.39,24.79
"2018-08-23 16:11:00",4,0.01965343,2807516,28251,465.0695,8.489706,51.2023,91.4325,3.279982,12.26334,23.41,24.82
"2018-08-23 16:12:00",5,0.01938606,2772201,31783,464.3423,8.500142,51.2036,91.43381,3.297555,12.26339,23.43,24.84
"2018-08-23 16:13:00",6,0.0189132,2754544,31783,463.3298,8.515293,51.20315,91.4328,3.322598,12.26419,23.46,24.87
"2018-08-23 16:14:00",7,0.01885354,2620348,24720,460.1306,8.496527,51.20503,91.43768,3.292131,12.26392,23.45,24.89
"2018-08-23 16:15:00",8,0.01917393,2701572,31783,459.5442,8.495687,51.20472,91.43475,3.290289,12.26464,23.4,24.92
"2018-08-23 16:16:00",9,0.01912532,2765138,31783,457.8293,8.488243,51.20449,91.43642,3.278142,12.26476,23.38,24.95
"2018-08-23 16:17:00",10,0.01942141,2683914,24720,457.1072,8.495294,51.20366,91.43369,3.289475,12.26404,23.39,24.98
"2018-08-23 16:18:00",11,0.01942804,2701572,17657,456.382,8.492836,51.20293,91.43329,3.285316,12.26476,23.33,25.01
"2018-08-23 16:19:00",12,0.01852209,2680383,28251,455.2346,8.498497,51.20525,91.43237,3.2946,12.26542,23.3,25.03
"2018-08-23 16:20:00",13,0.01836962,2613285,21188,454.798,8.50545,51.20628,91.43124,3.305993,12.26419,23.33,25.07
"2018-08-23 16:21:00",14,0.01878062,2655663,28251,455.1718,8.513252,51.20426,91.43182,3.319063,12.26487,23.35,25.09
"2018-08-23 16:22:00",15,0.01888005,"NAN","NAN",455.0126,8.519818,51.20526,91.43221,3.330027,12.26577,23.31,25.12
"2018-08-23 16:23:00",16,0.01867234,2592096,24720,454.7551,8.527469,51.20494,91.4341,3.343026,12.26532,23.33,25.14
"2018-08-23 16:24:00",17,0.01825914,2662725,21188,454.4089,8.537192,51.20471,91.43282,3.358956,12.26578,23.28,25.18
"2018-08-23 16:25:00",18,0.01875189,2616816,17657,456.137,8.558292,51.20298,91.43169,3.393719,12.26635,23.34,25.2
"2018-08-23 16:26:00",19,0.01764486,2556781,21188,454.9028,8.565987,51.20382,91.43162,3.406441,12.26635,23.34,25.23
"2018-08-23 16:27:00",20,0.01775755,2577970,21188,453.3705,8.56929,51.2048,91.43921,3.413075,12.26623,23.34,25.25
"2018-08-23 16:28:00",21,0.01837846,2535593,24720,457.3646,8.582276,51.20472,91.44086,3.434775,12.26703,23.39,25.3
"2018-08-23 16:29:00",22,0.01766474,2500278,21188,456.4753,8.589443,51.20516,91.4392,3.446343,12.2668,23.39,25.31
"2018-08-23 16:30:00",23,0.01801387,2482621,24720,454.8605,8.591881,51.20435,91.43675,3.449982,12.2667,23.37,25.33
"2018-08-23 16:31:00",24,0.01756089,2486152,21188,453.2661,8.597161,51.20538,91.43504,3.458421,12.26737,23.33,25.35
"2018-08-23 16:32:00",25,0.0174946,2443775,24720,451.2198,8.603038,51.20571,91.43221,3.467664,12.26681,23.31,25.38
"2018-08-23 16:33:00",26,0.01737749,2567376,24720,452.6128,8.605878,51.20605,91.42758,3.471624,12.26783,23.36,25.43
"2018-08-23 16:34:00",27,0.01709908,2383740,21188,452.4969,8.612492,51.20538,91.42784,3.482543,12.26692,23.38,25.46
"2018-08-23 16:35:00",28,0.01679635,2447306,21188,451.7499,8.621677,51.20457,91.42587,3.497347,12.26751,23.31,25.45
"2018-08-23 16:36:00",29,0.01738633,2532061,35314,456.2376,8.649058,51.20539,91.42722,3.54249,12.26749,23.4,25.5
"2018-08-23 16:37:00",30,0.01742169,2542656,35314,457.7678,8.676472,51.20494,91.42691,3.587294,12.26646,23.33,25.52
"2018-08-23 16:38:00",31,0.01736202,2556781,24720,459.5463,8.687268,51.20412,91.43085,3.605566,12.26832,23.3,25.52
"2018-08-23 16:39:00",32,0.01695766,2373145,35314,457.8731,8.677297,51.2036,91.42801,3.588836,12.26828,23.35,25.54
"2018-08-23 16:40:00",33,0.01707477,2411991,21188,456.3871,8.677565,51.2039,91.42796,3.589264,12.26797,23.34,25.56
"2018-08-23 16:41:00",34,0.01652457,2284859,31783,454.3617,8.675957,51.20472,91.42866,3.586747,12.26737,23.35,25.58
"2018-08-23 16:42:00",35,0.0165555,2387271,24720,453.8964,8.672176,51.2036,91.42905,3.580625,12.26862,23.35,25.61
"2018-08-23 16:43:00",36,0.01844033,2486152,35314,455.8342,8.716657,51.2048,91.42966,3.653279,12.26809,23.37,25.62
"2018-08-23 16:44:00",37,0.01747693,2475558,31783,452.9327,8.690555,51.20472,91.42899,3.610623,12.26885,23.37,25.64
"2018-08-23 16:45:00",38,0.01763823,2493215,35314,453.9972,8.692417,51.20449,91.4256,3.613157,12.26874,23.36,25.67
"2018-08-23 16:46:00",39,0.01786803,2585033,35314,456.7822,8.703773,51.20435,91.42885,3.632173,12.26785,23.3,25.68
"2018-08-23 16:47:00",40,0.0171278,2592096,31783,455.0457,8.698071,51.2027,91.42651,3.622509,12.26953,23.31,25.7
"2018-08-23 16:48:00",41,0.01684939,2468495,24720,452.8457,8.683889,51.2048,91.42698,3.599449,12.26959,23.32,25.73
"2018-08-23 16:49:00",42,0.01661958,2404928,38846,452.8321,8.688518,51.20382,91.42388,3.606525,12.26931,23.32,25.73
"2018-08-23 16:50:00",43,0.01646712,2355488,28251,453.3521,8.690377,51.2056,91.42207,3.609279,12.26919,23.34,25.76
"2018-08-23 16:51:00",44,0.01634117,2390803,31783,453.4982,8.688794,51.20503,91.41955,3.606304,12.26913,23.27,25.77
"2018-08-23 16:52:00",45,0.01620417,2351956,28251,454.9353,8.698718,51.20494,91.42214,3.622882,12.26942,23.27,25.79
"2018-08-23 16:53:00",46,0.01611137,2394334,31783,459.3634,8.719165,51.20299,91.42147,3.656097,12.26971,23.26,25.81
"2018-08-23 16:54:00",47,0.01570258,2298984,35314,460.8555,8.732132,51.20427,91.42245,3.677342,12.26897,23.32,25.83
"2018-08-23 16:55:00",48,0.0155921,2196572,35314,460.6905,8.730726,51.20471,91.42213,3.675003,12.26953,23.32,25.85
"2018-08-23 16:56:00",49,0.01558105,2260138,31783,461.1109,8.728858,51.20344,91.42187,3.671916,12.26994,23.32,25.85
"2018-08-23 16:57:00",50,0.01554128,2327236,38846,459.2063,8.71147,51.20404,91.42035,3.643394,12.26919,23.31,25.88
"2018-08-23 16:58:00",51,0.01543522,2344893,38846,458.6356,8.707673,51.20426,91.42094,3.637303,12.26999,23.32,25.89
"2018-08-23 16:59:00",52,0.01518994,2369614,28251,457.4371,8.68865,51.20617,91.41965,3.606081,12.27052,23.34,25.91
"2018-08-23 17:00:00",53,0.01515238,2260138,35314,457.2045,8.681105,51.20472,91.41859,3.593592,12.26953,23.33,25.92
"2018-08-23 17:01:00",54,0.01521425,2161257,28251,456.2644,8.67019,51.20525,91.41941,3.575881,12.27017,23.35,25.94
"2018-08-23 17:02:00",55,0.01518331,2281327,35314,456.7417,8.67084,51.20694,91.41862,3.576827,12.27022,23.34,25.95
"2018-08-23 17:03:00",56,0.01519878,2133005,35314,456.4423,8.665709,51.2036,91.41731,3.568227,12.26988,23.32,25.97
"2018-08-23 17:04:00",57,0.01494688,2168320,28251,453.7255,8.6319,51.20707,91.41788,3.512878,12.2704,23.27,25.98
"2018-08-23 17:05:00",58,0.0150662,2214229,24720,453.7997,8.621005,51.20628,91.41925,3.495197,12.27044,23.25,25.98
