TheTime,Bsp_1,Bsp_2
43335.57712142,0.0001342608,0.0001344907
43335.57781588,0.0001342863,0.0001343517
43335.57851032,0.0001341085,0.0001341809
43335.57920476,0.0001343751,0.0001344030
43335.57989920,0.0001347545,0.0001348985
43335.58059364,0.0001344503,0.0001346422
43335.58128809,0.0001334249,0.0001334804
43335.58198253,0.0001315074,0.0001316180
43335.58267697,0.0001283867,0.0001285426
43335.58337141,0.0001283115,0.0001284059
43335.58406586,0.0001283012,0.0001283376
43335.58476030,0.0001279389,0.0001280984
43335.58545474,0.0001273613,0.0001274491
43335.58614919,0.0001268144,0.0001268853
43335.58684363,0.0001289097,0.0001290039
43335.58753807,0.0001167824,0.0001170098
43335.58823252,0.0001076835,0.0001077493
43335.58892696,0.0001185222,0.0001188892
43335.58962140,0.0001208875,0.0001210932
43335.59031584,0.0001215711,0.0001217083
43335.59101029,0.0001192981,0.0001195555
43335.59170473,0.0001199509,0.0001202048
43335.59239917,0.0001194929,0.0001196751
43335.59309362,0.0001198450,0.0001199998
43335.59378806,0.0001184880,0.0001187696
43335.59448250,0.0001163381,0.0001166680
43335.59517695,0.0001174421,0.0001176078
43335.59587139,0.0001191580,0.0001195214
43335.59656583,0.0001181291,0.0001183595
43335.59726028,0.0001194622,0.0001197435
43335.59795472,0.0001185017,0.0001187012
43335.59864916,0.0001175856,0.0001177957
43335.59934360,0.0001167346,0.0001171294
43335.60003805,0.0001190212,0.0001192992
43335.60073249,0.0001198723,0.0001201535
43335.60142693,0.0001184778,0.0001186671
43335.60212138,0.0001199646,0.0001202731
43335.60281582,0.0001218206,0.0001220842
43335.60351026,0.0001201526,0.0001204098
43335.60420471,0.0001189289,0.0001191113
43335.60489915,0.0001188743,0.0001190771
43335.60559360,0.0001194211,0.0001198460
43335.60628804,0.0001210550,0.0001212983
43335.60698248,0.0001210037,0.0001213154
43335.60767693,0.0001210447,0.0001213666
43335.60837137,0.0001197356,0.0001199485
43335.60906581,0.0001192981,0.0001195555
43335.60976026,0.0001218548,0.0001220330
43335.61045470,0.0001215164,0.0001218108
43335.61114915,0.0001215506,0.0001220330
43335.61184359,0.0001213831,0.0001216912
43335.61253803,0.0001207303,0.0001211445
43335.61323248,0.0001202039,0.0001204611
43335.61392692,0.0001195715,0.0001198118
43335.61462137,0.0001189119,0.0001191113
43335.61531581,0.0001185530,0.0001188379
43335.61601025,0.0001186828,0.0001189404
43335.61670470,0.0001172883,0.0001175394
43335.61739914,0.0001160714,0.0001161555
43335.61809359,0.0001159552,0.0001162238
43335.61878803,0.0001154972,0.0001156087
43335.61948247,0.0001161432,0.0001163947
43335.62017692,0.0001153434,0.0001155062
43335.62087136,0.0001156955,0.0001158479
43335.62156581,0.0001185393,0.0001188379
43335.62226025,0.0001174968,0.0001177444
43335.62295470,0.0001148649,0.0001151474
43335.62364914,0.0001137096,0.0001138489
43335.62434358,0.0001136993,0.0001137977
43335.62503803,0.0001128927,0.0001129775
43335.62573247,0.0001135421,0.0001137806
43335.62642692,0.0001133062,0.0001133876
43335.62712136,0.0001119527,0.0001120378
43335.62781581,0.0001132926,0.0001133193
43335.62851025,0.0001115152,0.0001116961
43335.62920469,0.0001098916,0.0001101584
43335.62989914,0.0001104522,0.0001105685
43335.63059358,0.0001116451,0.0001117986
43335.63128803,0.0001117784,0.0001118670
43335.63198247,0.0001117681,0.0001118499
43335.63267692,0.0001107837,0.0001109614
43335.63337136,0.0001100215,0.0001102097
43335.63406580,0.0001097549,0.0001098850
43335.63476025,0.0001109820,0.0001112690
43335.63545469,0.0001120313,0.0001122941
43335.63614914,0.0001139625,0.0001142077
43335.63684358,0.0001122125,0.0001123112
43335.63753803,0.0001099634,0.0001101242
43335.63823247,0.0001113819,0.0001115765
43335.63892691,0.0001108350,0.0001108589
43335.63962136,0.0001141710,0.0001141394
43335.64031580,0.0001128995,0.0001130117
43335.64101025,0.0001108760,0.0001109785
43335.64170469,0.0001113716,0.0001112519
43335.64239913,0.0001137882,0.0001140198
43335.64309358,0.0001137574,0.0001139173
43335.64378802,0.0001121988,0.0001123454
43335.64448247,0.0001133814,0.0001133193
43335.64517691,0.0001146598,0.0001149082
43335.64587136,0.0001140821,0.0001141565
43335.64656580,0.0001146735,0.0001147545
43335.64726024,0.0001145402,0.0001146007
43335.64795469,0.0001137267,0.0001137806
43335.64864913,0.0001133438,0.0001136781
43335.64934358,0.0001122398,0.0001124479
43335.65003802,0.0001131217,0.0001131313
43335.65073247,0.0001146085,0.0001148911
43335.65142691,0.0001141437,0.0001143444
43335.65212135,0.0001135250,0.0001136268
43335.65281580,0.0001126261,0.0001125846
43335.65351024,0.0001141642,0.0001141906
43335.65420469,0.0001153571,0.0001156429
43335.65489913,0.0001144137,0.0001144298
43335.65559358,0.0001138634,0.0001140710
43335.65628802,0.0001143488,0.0001142931
43335.65698247,0.0001136207,0.0001136781
43335.65767691,0.0001138941,0.0001140539
43335.65837135,0.0001146461,0.0001146861
43335.65906580,0.0001138771,0.0001138831
43335.65976024,0.0001137984,0.0001138318
43335.66045469,0.0001134395,0.0001135072
43335.66114913,0.0001148580,0.0001149082
43335.66184358,0.0001160749,0.0001163263
43335.66253802,0.0001147555,0.0001149424
43335.66323246,0.0001150460,0.0001151645
43335.66392691,0.0001148478,0.0001149082
43335.66462135,0.0001145914,0.0001147374
43335.66531580,0.0001131148,0.0001130971
43335.66601024,0.0001127970,0.0001128238
43335.66670469,0.0001118057,0.0001119011
43335.66739913,0.0001125235,0.0001127213
43335.66809358,0.0001115904,0.0001117986
43335.66878802,0.0001122193,0.0001122941
43335.66948247,0.0001129576,0.0001130801
43335.67017691,0.0001125611,0.0001126871
43335.67087136,0.0001112691,0.0001113715
43335.67156580,0.0001111255,0.0001113031
43335.67226024,0.0001112007,0.0001112348
43335.67295469,0.0001096045,0.0001096971
43335.67364913,0.0001085107,0.0001087061
43335.67434358,0.0001077827,0.0001079543
43335.67503802,0.0001083125,0.0001085523
43335.67573247,0.0001072871,0.0001075272
43335.67642691,0.0001064804,0.0001067413
43335.67712135,0.0001063129,0.0001067071
43335.67781580,0.0001065795,0.0001066729
43335.67851024,0.0001052533,0.0001056990
43335.67920469,0.0001038485,0.0001040930
43335.67989913,0.0001035033,0.0001037684
43335.68059358,0.0001024949,0.0001026920
43335.68128802,0.0001018216,0.0001019744
43335.68198246,0.0001017156,0.0001016668
43335.68267691,0.0001023343,0.0001024698
43335.68337135,0.0001011448,0.0001011542
43335.68406580,0.0001002527,0.0001003341
43335.68476024,0.0001012337,0.0001011030
43335.68545468,0.0001011824,0.0001014276
43335.68614913,9.974341e-05,9.990699e-05
43335.68684357,0.0001006697,0.0001006075
43335.68753802,9.861545e-05,9.865974e-05
43335.68823246,9.725507e-05,9.724162e-05
43335.68892690,9.638005e-05,9.638734e-05
43335.68962135,9.694744e-05,9.698534e-05
43335.69031579,9.797969e-05,9.801048e-05
43335.69101024,9.652360e-05,9.666071e-05
43335.69170468,9.666374e-05,9.671197e-05
43335.69239912,9.784981e-05,9.792505e-05
43335.69309357,9.753877e-05,9.744665e-05
43335.69378801,9.619889e-05,9.616523e-05
43335.69448246,9.719696e-05,9.722454e-05
43335.69517690,9.690984e-05,9.695117e-05
43335.69587134,9.796602e-05,9.799339e-05
43335.69656579,9.797286e-05,9.806174e-05
43335.69726023,9.702948e-05,9.691700e-05
43335.69795468,9.743622e-05,9.736122e-05
43335.69864912,9.686199e-05,9.686574e-05
43335.69934357,9.636637e-05,9.647277e-05
43335.70003801,9.568960e-05,9.573808e-05
43335.70073246,9.564516e-05,9.578934e-05
43335.70142690,9.433605e-05,9.445666e-05
43335.70212134,9.401817e-05,9.413203e-05
43335.70281579,9.417882e-05,9.443957e-05
43335.70351023,9.351913e-05,9.356820e-05
43335.70420468,9.336874e-05,9.356820e-05
43335.70489912,9.218268e-05,9.237220e-05
43335.70559357,9.303719e-05,9.326066e-05
43335.70628801,9.332089e-05,9.346569e-05
43335.70698246,9.256550e-05,9.259432e-05
43335.70767690,9.137602e-05,9.156918e-05
43335.70837134,8.954736e-05,8.975809e-05
43335.70906579,9.020704e-05,9.045861e-05
43335.70976023,9.010108e-05,9.009981e-05
43335.71045468,9.073342e-05,9.093701e-05
43335.71114912,9.116068e-05,9.127872e-05
43335.71184357,8.943456e-05,8.953598e-05
43335.71253801,8.349057e-05,8.362433e-05
43335.71323246,8.204473e-05,8.206954e-05
43335.71392690,8.691546e-05,8.705856e-05
43335.71462135,8.916795e-05,8.933095e-05
43335.71531579,8.835787e-05,8.823747e-05
43335.71601024,8.559267e-05,8.555502e-05
43335.71670468,8.510731e-05,8.499119e-05
43335.71739912,8.439293e-05,8.430776e-05
43335.71809357,8.413316e-05,8.388062e-05
43335.71878802,8.358285e-05,8.343639e-05
43335.71948246,8.409214e-05,8.394896e-05
43335.72017690,8.250275e-05,8.246251e-05
43335.72087135,8.231134e-05,8.220622e-05
43335.72156579,8.183623e-05,8.183034e-05
43335.72226024,8.184306e-05,8.176199e-05
43335.72295468,8.051344e-05,8.027554e-05
43335.72364913,7.952562e-05,7.937000e-05
43335.72434357,7.794648e-05,7.783229e-05
43335.72503802,7.817891e-05,7.808857e-05
43335.72573246,7.778584e-05,7.761017e-05
43335.72642691,7.627506e-05,7.612372e-05
43335.72712135,7.550258e-05,7.532069e-05
43335.72781580,7.504798e-05,7.492772e-05
43335.72851024,7.489758e-05,7.479104e-05
43335.72920469,7.485656e-05,7.479104e-05
43335.72989913,7.325008e-05,7.309955e-05
43335.73059358,7.247076e-05,7.255281e-05
43335.73128802,7.279890e-05,7.275784e-05
43335.73198247,7.136331e-05,7.135681e-05
43335.73267691,7.103518e-05,7.120304e-05
43335.73337136,6.991064e-05,7.004122e-05
43335.73406580,7.175639e-05,7.174978e-05
43335.73476024,7.164701e-05,7.163018e-05
43335.73545469,6.944237e-05,6.939196e-05
43335.73614913,6.837935e-05,6.846933e-05
43335.73684357,6.947997e-05,6.959699e-05
43335.73753802,6.910740e-05,6.922110e-05
43335.73823246,6.794184e-05,6.790551e-05
43335.73892691,6.781537e-05,6.773465e-05
43335.73962135,6.790766e-05,6.790551e-05
43335.74031579,6.758978e-05,6.756379e-05
43335.74101024,6.656095e-05,6.653865e-05
43335.74170468,6.715569e-05,6.703414e-05
43335.74239913,6.604824e-05,6.597482e-05
43335.74309357,6.662247e-05,6.655574e-05
43335.74378801,6.766498e-05,6.766631e-05
43335.74448246,6.886813e-05,6.901607e-05
43335.74517690,6.693693e-05,6.689745e-05
43335.74587135,6.700530e-05,6.691454e-05
43335.74656579,6.780854e-05,6.766631e-05
43335.74726024,6.728558e-05,6.734168e-05
43335.74795468,6.740179e-05,6.725625e-05
43335.74864913,6.697795e-05,6.677785e-05
43335.74934357,6.697112e-05,6.711956e-05
43335.75003801,6.739154e-05,6.739293e-05
43335.75073246,6.738812e-05,6.730751e-05
43335.75142690,6.664640e-05,6.664116e-05
43335.75212135,6.704631e-05,6.696579e-05
43335.75281579,6.771283e-05,6.773465e-05
43335.75351024,6.793159e-05,6.793968e-05
43335.75420468,6.725823e-05,6.717082e-05
43335.75489912,6.664982e-05,6.658991e-05
43335.75559357,6.623282e-05,6.616277e-05
43335.75628801,6.641055e-05,6.626528e-05
43335.75698246,6.668400e-05,6.664116e-05
43335.75767690,6.657462e-05,6.638488e-05
43335.75837135,6.693693e-05,6.682911e-05
43335.75906579,6.831783e-05,6.834973e-05
43335.75976024,6.800337e-05,6.809345e-05
43335.76045468,6.731292e-05,6.734168e-05
43335.76114913,6.744964e-05,6.735876e-05
43335.76184357,6.724456e-05,6.717082e-05
43335.76253802,6.727532e-05,6.718791e-05
43335.76323246,6.711809e-05,6.698288e-05
43335.76392691,6.776069e-05,6.770048e-05
43335.76462135,6.738128e-05,6.739293e-05
43335.76531579,6.770258e-05,6.771756e-05
43335.76601024,6.821187e-05,6.821305e-05
43335.76670468,6.729241e-05,6.715374e-05
43335.76739913,6.665324e-05,6.653865e-05
43335.76809357,6.793842e-05,6.788842e-05
43335.76878802,6.882712e-05,6.899899e-05
43335.76948246,6.625674e-05,6.623111e-05
43335.77017691,6.606533e-05,6.606025e-05
43335.77087138,6.659513e-05,6.662408e-05
43335.77156582,6.807515e-05,6.811053e-05
43335.77226026,6.871774e-05,6.874270e-05
43335.77295471,6.831099e-05,6.834973e-05
43335.77364915,6.844771e-05,6.838390e-05
43335.77434360,6.798628e-05,6.812762e-05
43335.77503804,6.751800e-05,6.747836e-05
43335.77573249,6.852633e-05,6.850350e-05
43335.77642693,6.842379e-05,6.855476e-05
43335.77712138,6.894675e-05,6.896482e-05
43335.77781582,6.803755e-05,6.797385e-05
43335.77851026,6.823580e-05,6.829848e-05
43335.77920471,6.727874e-05,6.715374e-05
43335.77989915,6.727532e-05,6.730751e-05
43335.78059360,6.538856e-05,6.522305e-05
43335.78128804,6.521765e-05,6.525722e-05
43335.78198249,6.662247e-05,6.660699e-05
43335.78267693,6.745990e-05,6.737585e-05
43335.78337138,6.783930e-05,6.768339e-05
43335.78406582,6.748382e-05,6.746128e-05
43335.78476027,6.716594e-05,6.715374e-05
43335.78545471,6.791108e-05,6.780299e-05
43335.78614916,6.736077e-05,6.739293e-05
43335.78684360,6.767523e-05,6.764922e-05
43335.78753804,6.776752e-05,6.780299e-05
43335.78823249,6.645841e-05,6.635071e-05
43335.78892693,6.807856e-05,6.805928e-05
43335.78962138,6.874508e-05,6.882813e-05
43335.79031582,6.882028e-05,6.889647e-05
43335.79101027,6.726165e-05,6.717082e-05
43335.79170471,6.653702e-05,6.648739e-05
43335.79239916,6.799995e-05,6.795676e-05
43335.79309360,6.801020e-05,6.793968e-05
43335.79378804,6.779828e-05,6.783716e-05
43335.79448249,6.745990e-05,6.735876e-05
43335.79517693,6.685148e-05,6.672659e-05
43335.79587138,6.678996e-05,6.674368e-05
43335.79656582,6.786323e-05,6.783716e-05
43335.79726027,6.888181e-05,6.887939e-05
43335.79795471,6.658146e-05,6.662408e-05
43335.79864916,6.702580e-05,6.701705e-05
43335.79934360,6.764789e-05,6.746128e-05
43335.80003805,6.656779e-05,6.641905e-05
43335.80073249,6.680705e-05,6.679494e-05
43335.80142693,6.805464e-05,6.807636e-05
43335.80212138,6.844430e-05,6.845225e-05
43335.80281582,6.878952e-05,6.872562e-05
43335.80351027,6.839303e-05,6.846933e-05
43335.80420471,6.860836e-05,6.869145e-05
43335.80489916,6.984228e-05,6.993870e-05
43335.80559360,6.841012e-05,6.843516e-05
43335.80628804,6.745306e-05,6.739293e-05
43335.80698249,6.854000e-05,6.857185e-05
43335.80767693,6.950389e-05,6.949447e-05
43335.80837138,6.943553e-05,6.940905e-05
43335.80906582,6.946629e-05,6.942613e-05
43335.80976027,6.841353e-05,6.833265e-05
43335.81045471,6.755560e-05,6.770048e-05
43335.81114915,6.757269e-05,6.759796e-05
43335.81184360,6.918601e-05,6.925527e-05
43335.81253804,7.068312e-05,7.057087e-05
43335.81323249,7.097366e-05,7.096384e-05
43335.81392693,7.034473e-05,7.029750e-05
43335.81462138,7.005078e-05,7.017790e-05
43335.81531582,6.957225e-05,6.968242e-05
43335.81601026,7.075832e-05,7.075881e-05
43335.81670471,7.135990e-05,7.123721e-05
43335.81739915,7.104202e-05,7.106636e-05
43335.81809360,7.100784e-05,7.098093e-05
43335.81878804,7.111380e-05,7.111761e-05
43335.81948249,6.993799e-05,7.012664e-05
43335.82017693,7.080617e-05,7.086133e-05
43335.82087137,7.100100e-05,7.099801e-05
43335.82156582,7.151371e-05,7.142516e-05
43335.82226026,7.172905e-05,7.161310e-05
43335.82295471,7.191704e-05,7.181813e-05
43335.82364915,7.215972e-05,7.221110e-05
43335.82434360,7.155131e-05,7.145933e-05
43335.82503804,7.131546e-05,7.137390e-05
43335.82573248,6.992090e-05,6.995579e-05
43335.82642693,6.970556e-05,6.969950e-05
43335.82712137,7.080959e-05,7.087841e-05
43335.82781582,7.173930e-05,7.171561e-05
43335.82851026,7.101125e-05,7.098093e-05
43335.82920471,7.138724e-05,7.147641e-05
43335.82989915,7.145218e-05,7.147641e-05
43335.83059359,7.193413e-05,7.190356e-05
43335.83128804,7.049171e-05,7.051961e-05
43335.83198248,6.954833e-05,6.956282e-05
43335.83267693,7.034815e-05,7.034876e-05
43335.83337137,7.108987e-05,7.099801e-05
43335.83406582,7.138382e-05,7.139098e-05
43335.83476026,7.180082e-05,7.166436e-05
43335.83545470,7.165043e-05,7.159601e-05
43335.83614915,7.208794e-05,7.217693e-05
43335.83684359,7.358847e-05,7.361212e-05
43335.83753804,6.951757e-05,6.951156e-05
43335.83823248,6.860836e-05,6.848642e-05
43335.83892693,7.320906e-05,7.304830e-05
43335.83962137,7.325692e-05,7.321915e-05
43335.84031581,7.270661e-05,7.270658e-05
43335.84101026,7.329793e-05,7.328750e-05
43335.84170470,7.363974e-05,7.364629e-05
43335.84239915,7.379355e-05,7.386841e-05
43335.84309359,7.359188e-05,7.362921e-05
43335.84378804,7.268610e-05,7.263824e-05
43335.84448248,7.385507e-05,7.380007e-05
43335.84517692,7.461388e-05,7.451766e-05
43335.84587137,7.381064e-05,7.378298e-05
43335.84656581,7.333211e-05,7.330458e-05
43335.84726026,7.407725e-05,7.403927e-05
43335.84795470,7.415586e-05,7.417595e-05
43335.84864915,7.475060e-05,7.460309e-05
43335.84934359,7.555385e-05,7.545738e-05
43335.85003803,7.543763e-05,7.525235e-05
43335.85073248,7.435069e-05,7.429555e-05
43335.85142692,7.454894e-05,7.439806e-05
43335.85212137,7.584780e-05,7.578201e-05
43335.85281581,7.612808e-05,7.596995e-05
43335.85351026,7.567690e-05,7.571366e-05
43335.85420470,7.563930e-05,7.559406e-05
43335.85489914,7.613833e-05,7.607246e-05
43335.85559359,7.557094e-05,7.562823e-05
43335.85628803,7.502063e-05,7.491064e-05
43335.85698248,7.645279e-05,7.638000e-05
43335.85767692,7.837374e-05,7.825943e-05
43335.85837137,7.761835e-05,7.747349e-05
43335.85906581,7.660661e-05,7.660212e-05
43335.85976025,7.804219e-05,7.803732e-05
43335.86045470,7.774140e-05,7.774686e-05
43335.86114914,7.671940e-05,7.653378e-05
43335.86184359,7.837032e-05,7.817400e-05
43335.86253803,7.833614e-05,7.813983e-05
43335.86323248,7.697234e-05,7.670463e-05
43335.86392692,7.668180e-05,7.649960e-05
43335.86462136,7.722186e-05,7.720012e-05
43335.86531581,7.667497e-05,7.661920e-05
43335.86601025,7.610074e-05,7.612372e-05
43335.86670470,7.683903e-05,7.672172e-05
43335.86739914,7.663737e-05,7.653378e-05
43335.86809359,7.674675e-05,7.680715e-05
43335.86878803,7.581704e-05,7.574783e-05
43335.86948247,7.549232e-05,7.532069e-05
43335.87017692,7.662370e-05,7.660212e-05
43335.87087136,7.821651e-05,7.800314e-05
43335.87156581,7.819942e-05,7.815692e-05
43335.87226025,7.826778e-05,7.846446e-05
43335.87295470,7.575893e-05,7.569658e-05
43335.87364914,7.457628e-05,7.456892e-05
43335.87434358,7.518470e-05,7.511566e-05
43335.87503803,7.545814e-05,7.540612e-05
43335.87573247,7.458312e-05,7.455184e-05
43335.87642692,7.456945e-05,7.451766e-05
43335.87712136,7.524622e-05,7.508149e-05
43335.87781581,7.529749e-05,7.518401e-05
43335.87851025,7.418663e-05,7.424429e-05
43335.87920469,7.495569e-05,7.480812e-05
43335.87989914,7.526331e-05,7.521818e-05
43335.88059358,7.617251e-05,7.612372e-05
43335.88128803,7.511975e-05,7.511566e-05
43335.88198247,7.572817e-05,7.566241e-05
43335.88267692,7.558119e-05,7.559406e-05
43335.88337136,7.661686e-05,7.656795e-05
43335.88406581,7.666130e-05,7.656795e-05
43335.88476025,7.666813e-05,7.656795e-05
43335.88545469,7.459679e-05,7.446641e-05
43335.88614914,7.327742e-05,7.311664e-05
43335.88684358,7.264167e-05,7.274075e-05
43335.88753803,7.276813e-05,7.270658e-05
43335.88823247,7.241266e-05,7.253573e-05
43335.88892692,7.182817e-05,7.181813e-05
43335.88962136,7.081984e-05,7.081007e-05
43335.89031581,7.196147e-05,7.204024e-05
43335.89101025,7.191020e-05,7.200607e-05
43335.89170469,7.048829e-05,7.057087e-05
43335.89239914,6.904929e-05,6.899899e-05
43335.89309358,6.849215e-05,6.867436e-05
43335.89378803,6.697795e-05,6.691454e-05
43335.89448247,6.807856e-05,6.811053e-05
43335.89517692,6.793159e-05,6.809345e-05
43335.89587136,6.744622e-05,6.756379e-05
43335.89656581,6.570302e-05,6.575271e-05
43335.89726025,6.409995e-05,6.421500e-05
43335.89795469,6.419907e-05,6.414665e-05
43335.89864914,6.418198e-05,6.412957e-05
43335.89934358,6.324202e-05,6.315568e-05
43335.90003803,6.291730e-05,6.288231e-05
43335.90073247,6.239434e-05,6.238683e-05
43335.90142691,6.094851e-05,6.081495e-05
43335.90212136,6.006665e-05,6.002900e-05
43335.90281580,6.046314e-05,6.038780e-05
43335.90351025,5.968724e-05,5.951643e-05
43335.90420469,5.906516e-05,5.910638e-05
43335.90489914,5.856612e-05,5.855964e-05
43335.90559358,5.918479e-05,5.910638e-05
43335.90628802,5.894553e-05,5.874758e-05
43335.90698247,5.794062e-05,5.775661e-05
43335.90767691,5.708269e-05,5.686815e-05
43335.90837136,5.714763e-05,5.710735e-05
43335.90906580,5.671696e-05,5.657770e-05
43335.90976025,5.680241e-05,5.657770e-05
43335.91045469,5.691520e-05,5.686815e-05
43335.91114913,5.661783e-05,5.645810e-05
43335.91184358,5.519592e-05,5.509124e-05
43335.91253802,5.550355e-05,5.538170e-05
43335.91323247,5.663834e-05,5.644101e-05
43335.91392691,5.604360e-05,5.592844e-05
43335.91462136,5.533264e-05,5.517667e-05
43335.91531580,5.532581e-05,5.533044e-05
43335.91601024,5.569838e-05,5.567216e-05
43335.91670469,5.544544e-05,5.538170e-05
43335.91739913,5.561634e-05,5.541587e-05
43335.91809358,5.574281e-05,5.587718e-05
43335.91878802,5.586244e-05,5.568924e-05
43335.91948246,5.615640e-05,5.608221e-05
43335.92017691,5.622476e-05,5.623598e-05
43335.92087135,5.422861e-05,5.410027e-05
43335.92156580,5.475841e-05,5.464701e-05
