"TOA5","lab-cr3000","CR3000","9669","CR3000.Std.28.02","CPU:dust_sensor_eval.cr3","11175","dylos"
"TIMESTAMP","RECORD","dc1100_A_pm_small","dc1100_A_pm_large","dc1100_B_pm_small","dc1100_B_pm_large"
"TS","RN","counts/m^3","counts/m^3","counts/m^3","counts/m^3"
"","","Smp","Smp","Smp","Smp"
"2018-08-23 09:01:00",8092,1088,36,943,18
"2018-08-23 09:02:00",8093,1038,30,958,21
"2018-08-23 09:03:00",8094,1104,25,915,21
"2018-08-23 09:04:00",8095,1064,34,912,18
"2018-08-23 09:05:00",8096,1140,31,911,16
"2018-08-23 09:06:00",8097,1146,34,941,21
"2018-08-23 09:07:00",8098,1197,27,923,17
"2018-08-23 09:08:00",8099,1286,33,960,20
"2018-08-23 09:09:00",8100,1215,26,938,18
"2018-08-23 09:10:00",8101,1289,28,935,17
"2018-08-23 09:11:00",8102,1704,56,990,34
"2018-08-23 09:12:00",8103,1789,36,945,24
"2018-08-23 09:13:00",8104,1877,38,961,26
"2018-08-23 09:14:00",8105,1766,40,949,24
"2018-08-23 09:15:00",8106,1767,31,971,22
"2018-08-23 09:16:00",8107,1807,31,969,18
"2018-08-23 09:17:00",8108,1828,36,949,17
"2018-08-23 09:18:00",8109,1669,36,958,20
"2018-08-23 09:19:00",8110,1586,32,968,18
"2018-08-23 09:20:00",8111,1496,37,986,34
"2018-08-23 09:21:00",8112,1873,52,937,19
"2018-08-23 09:22:00",8113,1916,37,1003,44
"2018-08-23 09:23:00",8114,1962,34,954,20
"2018-08-23 09:24:00",8115,1973,32,976,17
"2018-08-23 09:25:00",8116,1937,32,971,18
"2018-08-23 09:26:00",8117,2041,30,953,17
"2018-08-23 09:27:00",8118,2080,34,929,17
"2018-08-23 09:28:00",8119,2607,87,961,21
"2018-08-23 09:29:00",8120,2540,42,1123,76
"2018-08-23 09:30:00",8121,2650,41,974,23
"2018-08-23 09:31:00",8122,2932,50,991,37
"2018-08-23 09:32:00",8123,2892,28,974,22
"2018-08-23 09:33:00",8124,2762,28,953,19
